service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,20151213,20161210,0,0,0,0,0,0,0
Ss,20151213,20161210,0,0,0,0,0,0,0
Na,20151213,20161210,0,0,0,0,0,0,0
Nb,20151213,20161210,0,0,0,0,0,0,0
3,20151213,20161210,0,0,0,0,0,0,0
Su,20151213,20161210,0,0,0,0,0,0,0
Sf,20151213,20161210,0,0,0,0,0,0,0
Fa,20151213,20161210,0,0,0,0,0,0,0
Fb,20151213,20161210,0,0,0,0,0,0,0
2,20151213,20161210,0,0,0,0,0,0,0
Ys,20151213,20161210,0,0,0,0,0,0,0
Yr,20151213,20161210,0,0,0,0,0,0,0
Yu,20151213,20161210,0,0,0,0,0,0,0
Yt,20151213,20161210,0,0,0,0,0,0,0
