"service_id","date","exception_type"
3,20151213,1
Nb,20151213,1
0,20151214,1
Ss,20151214,1
Su,20151214,1
Na,20151214,1
0,20151215,1
Ss,20151215,1
Su,20151215,1
Na,20151215,1
0,20151216,1
Ss,20151216,1
Su,20151216,1
Na,20151216,1
0,20151217,1
Ss,20151217,1
Su,20151217,1
Na,20151217,1
0,20151218,1
Ss,20151218,1
Su,20151218,1
Na,20151218,1
Yr,20151218,1
Fa,20151218,1
2,20151219,1
3,20151220,1
Nb,20151220,1
0,20151221,1
Ss,20151221,1
Su,20151221,1
Na,20151221,1
0,20151222,1
Ss,20151222,1
Su,20151222,1
Na,20151222,1
0,20151223,1
Sf,20151223,1
Su,20151223,1
Na,20151223,1
2,20151224,1
Yt,20151224,1
3,20151225,1
Ys,20151225,1
3,20151226,1
Ys,20151226,1
3,20151227,1
Nb,20151227,1
0,20151228,1
Sf,20151228,1
Na,20151228,1
0,20151229,1
Sf,20151229,1
Na,20151229,1
0,20151230,1
Sf,20151230,1
Na,20151230,1
2,20151231,1
Yu,20151231,1
3,20160101,1
Ys,20160101,1
2,20160102,1
3,20160103,1
Nb,20160103,1
0,20160104,1
Sf,20160104,1
Na,20160104,1
0,20160105,1
Sf,20160105,1
Na,20160105,1
Yr,20160105,1
Fb,20160105,1
Fa,20160105,1
3,20160106,1
Nb,20160106,1
0,20160107,1
Sf,20160107,1
Su,20160107,1
Na,20160107,1
0,20160108,1
Sf,20160108,1
Su,20160108,1
Na,20160108,1
Yr,20160108,1
Fa,20160108,1
2,20160109,1
3,20160110,1
Nb,20160110,1
0,20160111,1
Ss,20160111,1
Su,20160111,1
Na,20160111,1
0,20160112,1
Ss,20160112,1
Su,20160112,1
Na,20160112,1
0,20160113,1
Ss,20160113,1
Su,20160113,1
Na,20160113,1
0,20160114,1
Ss,20160114,1
Su,20160114,1
Na,20160114,1
0,20160115,1
Ss,20160115,1
Su,20160115,1
Na,20160115,1
Yr,20160115,1
Fa,20160115,1
2,20160116,1
3,20160117,1
Nb,20160117,1
0,20160118,1
Ss,20160118,1
Su,20160118,1
Na,20160118,1
0,20160119,1
Ss,20160119,1
Su,20160119,1
Na,20160119,1
0,20160120,1
Ss,20160120,1
Su,20160120,1
Na,20160120,1
0,20160121,1
Ss,20160121,1
Su,20160121,1
Na,20160121,1
0,20160122,1
Ss,20160122,1
Su,20160122,1
Na,20160122,1
Yr,20160122,1
Fa,20160122,1
2,20160123,1
3,20160124,1
Nb,20160124,1
0,20160125,1
Ss,20160125,1
