route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
87907,Yt,87907R2-2205,"Universität Süd",1,"",87907R2-2405
87907,Fb,87907H3-2630,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,2,87907H2-2530,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,2,87907H2-2730,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Fb,87907R3-2605,"Universität Süd",1,"",87907R2-2405
87907,2,87907R2-2705,"Universität Süd",1,"",87907R2-2405
87907,Yu,87907H2-2830,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yt,87907H2-2230,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yu,87907R2-2905,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907R2-2505,"Universität Süd",1,"",87907R2-2405
87907,Fb,87907R3-2805,"Universität Süd",1,"",87907R2-2405
87907,2,87907R2-2605,"Universität Süd",1,"",87907R2-2405
87907,Yr,87907R0-2705,"Universität Süd",1,"",87907R2-2405
87907,Yr,87907H0-2630,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yr,87907H0-2530,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yr,87907H0-2730,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yr,87907R0-2805,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907H2-1930,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Fb,87907H3-2730,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yt,87907R2-2105,"Universität Süd",1,"",87907R2-2405
87907,2,87907H2-2630,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Fb,87907H3-2530,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,2,87907R2-2805,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907R2-1905,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907H2-2430,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yt,87907H2-1830,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yr,87907R0-2605,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907R2-2305,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907H2-2030,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yt,87907H2-2330,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Fb,87907R3-2705,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907H2-2130,"Wiblingen (Alte Siedlung)",0,"",87907H3-2530
87907,Yt,87907R2-2405,"Universität Süd",1,"",87907R2-2405
87907,Yt,87907R2-2005,"Universität Süd",1,"",87907R2-2405
87908,Fb,87908R3-2556,"",1,"",87908R3-2556
87908,Yr,87908R0-2556,"",1,"",87908R3-2556
87908,Yt,87908R2-1856,"",1,"",87908R3-2556
87908,Yr,87908R0-2656,"",1,"",87908R3-2556
87908,Yt,87908H2-2330,"",0,"",87908H2-1930
87908,2,87908R2-2756,"",1,"",87908R3-2556
87908,Yr,87908H0-2630,"",0,"",87908H2-1930
87908,2,87908R2-2556,"",1,"",87908R3-2556
87908,2,87908H2-2730,"",0,"",87908H2-1930
87908,Yt,87908H2-2430,"",0,"",87908H2-1930
87908,Yt,87908H2-2230,"",0,"",87908H2-1930
87908,Yt,87908H2-1930,"",0,"",87908H2-1930
87908,Fb,87908R3-2656,"",1,"",87908R3-2556
87908,Yt,87908R2-2256,"",1,"",87908R3-2556
87908,Yt,87908R2-2356,"",1,"",87908R3-2556
87908,Yr,87908R0-2756,"",1,"",87908R3-2556
87908,Yt,87908R2-2056,"",1,"",87908R3-2556
87908,Yt,87908H2-2030,"",0,"",87908H2-1930
87908,Yt,87908R2-2456,"",1,"",87908R3-2556
87908,2,87908H2-2530,"",0,"",87908H2-1930
87908,Yt,87908R2-1956,"",1,"",87908R3-2556
87908,Yr,87908H0-2730,"",0,"",87908H2-1930
87908,Yu,87908H2-2830,"",0,"",87908H2-1930
87908,2,87908H2-2630,"",0,"",87908H2-1930
87908,Yt,87908H2-1830,"",0,"",87908H2-1930
87908,Fb,87908H3-2530,"",0,"",87908H2-1930
87908,Yu,87908R2-2856,"",1,"",87908R3-2556
87908,Fb,87908H3-2630,"",0,"",87908H2-1930
87908,Yt,87908H2-2130,"",0,"",87908H2-1930
87908,Yr,87908H0-2530,"",0,"",87908H2-1930
87908,Fb,87908R3-2756,"",1,"",87908R3-2556
87908,Fb,87908H3-2730,"",0,"",87908H2-1930
87908,2,87908R2-2656,"",1,"",87908R3-2556
87908,Yt,87908R2-2156,"",1,"",87908R3-2556
87015,0,87015H0-0733,"Science Park II",0,"",87015H0-0833
87015,0,87015H0-0723,"Science Park II",0,"",87015H0-0833
87015,0,87015H0-0933,"Science Park II",0,"",87015H0-0833
87015,0,87015H0-0623,"Science Park II",0,"",87015H0-0833
87015,0,87015H0-0523,"Science Park II",0,"",87015H0-0833
87015,0,87015H0-0823,"Science Park II",0,"",87015H0-0833
87015,0,87015R0-1805,Willy-Brandt-Platz,1,"",87015R0-1605
87015,0,87015H0-0833,"Science Park II",0,"",87015H0-0833
87015,0,87015R0-1705,Willy-Brandt-Platz,1,"",87015R0-1605
87015,0,87015R0-1605,Willy-Brandt-Platz,1,"",87015R0-1605
87015,0,87015H0-0923,"Science Park II",0,"",87015H0-0833
87005,0,87005R0-0654,Wiley,1,"",87005R0-0640
87005,3,87005H3-0450,Wissenschaftsstadt,0,"",87005H0-0809
87005,2,87005R2-1637,Wiley,1,"",87005R2-1233
87005,3,87005R3-1030,Wiley,1,"",87005R2-0630
87005,2,87005R2-0730,Wiley,1,"",87005R2-0630
87005,2,87005R2-0530,Wiley,1,"",87005R2-0630
87005,0,87005R0-0701,Wiley,1,"",87005R0-0701
87005,3,87005H3-1606,Wissenschaftsstadt,0,"",87005H2-1558
