			Fahrtenschl¸ssel	04:53	05:30	05:32	05:40	05:50	06:00	06:10	06:20	06:30	06:38	06:50	06:59	07:07	07:17	07:27	07:37	07:47	07:57	08:07	08:17	08:27	08:37	08:49	08:57	09:10	09:18	09:30	09:38	09:50	09:58	10:10	10:18	10:30	10:38	10:50	10:58	11:10	11:18	11:30	11:38	11:50	11:58	12:10	12:18	12:30	12:38	12:50	12:58	13:10	13:18	13:28	13:38	13:50	13:58	14:09	14:17	14:29	14:37	14:49	14:57	15:09	15:17	15:29	15:37	15:49	15:57	16:09	16:17	16:29	16:37	16:49	16:57	17:10	17:18	17:30	17:38	17:50	17:58	18:10	18:18	18:30	18:38	18:50	19:00	19:15	19:26	19:45	20:00	20:15	20:29	20:59	21:33	21:59	22:33	22:59	23:33	23:59	24:33
			Verkehrsbeschr‰nkung																																																																																																		
			Hinweis																																																																																																		Fa
			Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	1403	Eisenbahnstraﬂe	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	 19.26	    -	    -	    -	 20.29	 20.59	    -	 21.59	    -	 22.59	    -	 23.59	    -
2	1400	Rathausstraﬂe	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	 19.27	    -	    -	    -	 20.30	 21.00	    -	 22.00	    -	 23.00	    -	 24.00	    -
3	1401	H‰berlinweg	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	 19.28	    -	    -	    -	 20.31	 21.01	    -	 22.01	    -	 23.01	    -	 24.01	    -
4	1395	Barbaralinde	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	 19.30	    -	    -	    -	 20.33	 21.03	    -	 22.03	    -	 23.03	    -	 24.03	    -
5	1393	Grimmelfinger Weg	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	 19.31	    -	    -	    -	 20.34	 21.04	    -	 22.04	    -	 23.04	    -	 24.04	    -
6	1392	Am Hochstr‰ﬂ	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	 06.38	    -	    -	 07.07	 07.17	 07.27	 07.37	 07.47	 07.57	 08.07	 08.17	 08.27	 08.37	    -	 08.57	    -	 09.18	    -	 09.38	    -	 09.58	    -	 10.18	    -	 10.38	    -	 10.58	    -	 11.18	    -	 11.38	    -	 11.58	    -	 12.18	    -	 12.38	    -	 12.58	    -	 13.18	 13.28	 13.38	    -	 13.58	    -	 14.17	    -	 14.37	    -	 14.57	    -	 15.17	    -	 15.37	    -	 15.57	    -	 16.17	    -	 16.37	    -	 16.57	    -	 17.18	    -	 17.38	    -	 17.58	    -	 18.18	    -	 18.38	    -	 19.00	 19.15	    $	 19.45	 20.00	 20.15	    $	    $	 21.33	    $	 22.33	    $	 23.33	    $	 24.33
7	1391	Oberer Kuhberg	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	 06.39	    -	    -	 07.08	 07.18	 07.28	 07.38	 07.48	 07.58	 08.08	 08.18	 08.28	 08.38	    -	 08.58	    -	 09.19	    -	 09.39	    -	 09.59	    -	 10.19	    -	 10.39	    -	 10.59	    -	 11.19	    -	 11.39	    -	 11.59	    -	 12.19	    -	 12.39	    -	 12.59	    -	 13.19	 13.29	 13.39	    -	 13.59	    -	 14.18	    -	 14.38	    -	 14.58	    -	 15.18	    -	 15.38	    -	 15.58	    -	 16.18	    -	 16.38	    -	 16.58	    -	 17.19	    -	 17.39	    -	 17.59	    -	 18.19	    -	 18.39	    -	 19.01	 19.16	    $	 19.46	 20.01	 20.16	    $	    $	 21.34	    $	 22.34	    $	 23.34	    $	 24.34
8	1390	Kuhberg Schulzentrum	1	 04.53	    -	 05.30	 05.40	 05.50	 06.00	 06.10	 06.20	 06.30	 06.40	 06.50	 06.59	 07.09	 07.19	 07.29	 07.39	 07.49	 07.59	 08.09	 08.19	 08.29	 08.39	 08.49	 08.59	 09.10	 09.20	 09.30	 09.40	 09.50	 10.00	 10.10	 10.20	 10.30	 10.40	 10.50	 11.00	 11.10	 11.20	 11.30	 11.40	 11.50	 12.00	 12.10	 12.20	 12.30	 12.40	 12.50	 13.00	 13.10	 13.20	 13.30	 13.40	 13.50	 14.00	 14.09	 14.19	 14.29	 14.39	 14.49	 14.59	 15.09	 15.19	 15.29	 15.39	 15.49	 15.59	 16.09	 16.19	 16.29	 16.39	 16.49	 16.59	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00	 18.10	 18.20	 18.30	 18.40	 18.50	 19.02	 19.17	 19.32	 19.47	 20.02	 20.17	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35
