			Fahrtenschl¸ssel	05:35	06:05	06:35	06:59	07:33	07:59	08:33	08:59	09:33	09:59	10:33	10:59	11:28	11:55	12:04	12:23	12:40	12:55	13:04	13:23	13:40	13:55	14:04	14:23	14:40	14:55	15:04	15:23	15:40	15:55	16:04	16:23	16:40	16:55	17:04	17:23	17:40	17:55	18:04	18:23	18:40	18:55	19:04	19:23	19:40	19:59	20:33	20:59	21:33	21:59	22:33	22:59	23:33	23:59	24:33
			Verkehrsbeschr‰nkung																																																							
			Hinweis																																																							Fb
			Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	1403	Eisenbahnstraﬂe	1	    -	    -	    -	 06.59	    -	 07.59	    -	 08.59	    -	 09.59	    -	 10.59	    -	    -	 12.04	    -	    -	    -	 13.04	    -	    -	    -	 14.04	    -	    -	    -	 15.04	    -	    -	    -	 16.04	    -	    -	    -	 17.04	    -	    -	    -	 18.04	    -	    -	    -	 19.04	    -	    -	 19.59	    -	 20.59	    -	 21.59	    -	 22.59	    -	 23.59	    -
2	1400	Rathausstraﬂe	1	    -	    -	    -	 07.00	    -	 08.00	    -	 09.00	    -	 10.00	    -	 11.00	    -	    -	 12.05	    -	    -	    -	 13.05	    -	    -	    -	 14.05	    -	    -	    -	 15.05	    -	    -	    -	 16.05	    -	    -	    -	 17.05	    -	    -	    -	 18.05	    -	    -	    -	 19.05	    -	    -	 20.00	    -	 21.00	    -	 22.00	    -	 23.00	    -	 24.00	    -
3	1401	H‰berlinweg	1	    -	    -	    -	 07.01	    -	 08.01	    -	 09.01	    -	 10.01	    -	 11.01	    -	    -	 12.06	    -	    -	    -	 13.06	    -	    -	    -	 14.06	    -	    -	    -	 15.06	    -	    -	    -	 16.06	    -	    -	    -	 17.06	    -	    -	    -	 18.06	    -	    -	    -	 19.06	    -	    -	 20.01	    -	 21.01	    -	 22.01	    -	 23.01	    -	 24.01	    -
4	1395	Barbaralinde	1	    -	    -	    -	 07.03	    -	 08.03	    -	 09.03	    -	 10.03	    -	 11.03	    -	    -	 12.08	    -	    -	    -	 13.08	    -	    -	    -	 14.08	    -	    -	    -	 15.08	    -	    -	    -	 16.08	    -	    -	    -	 17.08	    -	    -	    -	 18.08	    -	    -	    -	 19.08	    -	    -	 20.03	    -	 21.03	    -	 22.03	    -	 23.03	    -	 24.03	    -
5	1393	Grimmelfinger Weg	1	    -	    -	    -	 07.04	    -	 08.04	    -	 09.04	    -	 10.04	    -	 11.04	    -	    -	 12.09	    -	    -	    -	 13.09	    -	    -	    -	 14.09	    -	    -	    -	 15.09	    -	    -	    -	 16.09	    -	    -	    -	 17.09	    -	    -	    -	 18.09	    -	    -	    -	 19.09	    -	    -	 20.04	    -	 21.04	    -	 22.04	    -	 23.04	    -	 24.04	    -
6	1392	Am Hochstr‰ﬂ	1	    -	    -	    -	    $	 07.33	    $	 08.33	    $	 09.33	    $	 10.33	    $	 11.28	    -	    $	 12.23	    -	    -	    $	 13.23	    -	    -	    $	 14.23	    -	    -	    $	 15.23	    -	    -	    $	 16.23	    -	    -	    $	 17.23	    -	    -	    $	 18.23	    -	    -	    $	 19.23	    -	    $	 20.33	    $	 21.33	    $	 22.33	    $	 23.33	    $	 24.33
7	1391	Oberer Kuhberg	1	    -	    -	    -	    $	 07.34	    $	 08.34	    $	 09.34	    $	 10.34	    $	 11.29	    -	    $	 12.24	    -	    -	    $	 13.24	    -	    -	    $	 14.24	    -	    -	    $	 15.24	    -	    -	    $	 16.24	    -	    -	    $	 17.24	    -	    -	    $	 18.24	    -	    -	    $	 19.24	    -	    $	 20.34	    $	 21.34	    $	 22.34	    $	 23.34	    $	 24.34
8	1390	Kuhberg Schulzentrum	1	 05.35	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.30	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.55	 14.10	 14.25	 14.40	 14.55	 15.10	 15.25	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.10	 19.25	 19.40	 20.05	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35
