			Fahrtenschlüssel	05:32	05:57	06:27	06:57	07:27	07:57	08:27	08:57	09:27	09:57	10:27	10:57	11:22	11:37	11:52	12:07	12:22	12:37	12:52	13:07	13:22	13:37	13:52	14:07	14:22	14:37	14:52	15:07	15:22	15:37	15:52	16:07	16:22	16:37	16:52	17:07	17:22	17:37	17:52	18:07	18:22	18:37	18:52	19:07	19:22	19:37	19:57	20:27	20:57	21:27	21:57	22:27	22:57	23:27	23:57	24:12	24:27	24:42	25:12
			Verkehrsbeschränkung																																																											
			Hinweis																																																								Nb	Fb		Fb
			Transportgefäßtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	1087	Egertweg	1	 05.32	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.22	 11.37	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 13.52	 14.07	 14.22	 14.37	 14.52	 15.07	 15.22	 15.37	 15.52	 16.07	 16.22	 16.37	 16.52	 17.07	 17.22	 17.37	 17.52	 18.07	 18.22	 18.37	 18.52	 19.07	 19.22	 19.37	 19.57	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.12	 24.27	 24.42	 25.12
2	1078	Ludwig-Beck-Straße	2	    $	 05.59	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	 12.09	    $	 12.39	    $	 13.09	    $	 13.39	    $	 14.09	    $	 14.39	    $	 15.09	    $	 15.39	    $	 16.09	    $	 16.39	    $	 17.09	    $	 17.39	    $	 18.09	    $	 18.39	    $	 19.09	    $	 19.39	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $
3	1082	Eichberg Nord	2	 05.34	    $	 06.29	 06.59	 07.29	 07.59	 08.29	 08.59	 09.29	 09.59	 10.29	 10.59	 11.24	 11.39	 11.54	    $	 12.24	    $	 12.54	    $	 13.24	    $	 13.54	    $	 14.24	    $	 14.54	    $	 15.24	    $	 15.54	    $	 16.24	    $	 16.54	    $	 17.24	    $	 17.54	    $	 18.24	    $	 18.54	    $	 19.24	    $	 19.59	 20.29	 20.59	 21.29	 21.59	 22.29	 22.59	 23.29	 23.59	 24.14	 24.29	 24.44	 25.14
4	1081	Eichberg	2	 05.35	    $	 06.30	 07.00	 07.30	 08.00	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.25	 11.40	 11.55	    $	 12.25	    $	 12.55	    $	 13.25	    $	 13.55	    $	 14.25	    $	 14.55	    $	 15.25	    $	 15.55	    $	 16.25	    $	 16.55	    $	 17.25	    $	 17.55	    $	 18.25	    $	 18.55	    $	 19.25	    $	 20.00	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.15	 24.30	 24.45	 25.15
5	1079	Eichenplatz	2	 05.36	 06.01	 06.31	 07.01	 07.31	 08.01	 08.31	 09.01	 09.31	 10.01	 10.31	 11.01	 11.26	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.11	 14.26	 14.41	 14.56	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.26	 19.41	 20.01	 20.31	 21.01	 21.31	 22.01	 22.31	 23.01	 23.31	 24.01	 24.16	 24.31	 24.46	 25.16
6	1060	Safranberg	2	 05.37	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	 09.02	 09.32	 10.02	 10.32	 11.02	 11.27	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 20.02	 20.32	 21.02	 21.32	 22.02	 22.32	 23.02	 23.32	 24.02	 24.17	 24.32	 24.47	 25.17
7	1059	Steinhövelstraße	2	 05.39	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.14	 14.29	 14.44	 14.59	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 20.04	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	 24.19	 24.34	 24.49	 25.19
