			Fahrtenschl¸ssel	05:06	05:35	05:55	06:15	06:35	06:37	07:05	07:07	07:35	07:37	08:05	08:07	08:35	08:37	09:05	09:07	09:35	09:37	10:05	10:07	10:35	10:37	11:05	11:07	11:35	11:37	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:23	15:38	15:53	16:08	16:23	16:38	16:53	17:08	17:23	17:38	17:53	18:08	18:23	18:38	18:53	19:08	19:23	19:38	19:53	20:08	20:35	20:37	21:05	21:07	21:35	21:37	22:05	22:07	22:35	22:37	23:05	23:07	23:35	23:37	23:38	24:07	24:09	24:11	24:35	24:37
			Verkehrsbeschr‰nkung																																																																																
			Hinweis																																																																										Nb	Fb		Nb	Fb	Fb	Fb
			Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10
1	1765	Hasenweg	1	    -	    -	    -	 05.52	    -	 06.22	    -	 06.52	    -	 07.22	    -	 07.52	    -	 08.22	    -	 08.52	    -	 09.22	    -	 09.52	    -	 10.22	    -	 10.52	    -	 11.08	    -	 11.38	    -	 12.08	    -	 12.38	    -	 13.08	    -	 13.38	    -	 14.08	    -	 14.38	    -	 15.08	    -	 15.38	    -	 16.08	    -	 16.38	    -	 17.08	    -	 17.38	    -	 18.08	    -	 18.38	    -	 19.08	    -	 19.52	    -	 20.22	    -	 20.52	    -	 21.22	    -	 21.52	    -	 22.22	    -	 22.52	    -	 23.22	 23.22	    -	 23.52	 23.52	    -	 24.22
2	1766	Katholische Kirche	1	    -	    -	    -	 05.53	    -	 06.23	    -	 06.53	    -	 07.23	    -	 07.53	    -	 08.23	    -	 08.53	    -	 09.23	    -	 09.53	    -	 10.23	    -	 10.53	    -	 11.09	    -	 11.39	    -	 12.09	    -	 12.39	    -	 13.09	    -	 13.39	    -	 14.09	    -	 14.39	    -	 15.09	    -	 15.39	    -	 16.09	    -	 16.39	    -	 17.09	    -	 17.39	    -	 18.09	    -	 18.39	    -	 19.09	    -	 19.53	    -	 20.23	    -	 20.53	    -	 21.23	    -	 21.53	    -	 22.23	    -	 22.53	    -	 23.23	 23.23	    -	 23.53	 23.53	    -	 24.23
3	1767	Allg‰uer Straﬂe	1	    -	    -	    -	 05.55	    -	 06.25	    -	 06.55	    -	 07.25	    -	 07.55	    -	 08.25	    -	 08.55	    -	 09.25	    -	 09.55	    -	 10.25	    -	 10.55	    -	 11.11	    -	 11.41	    -	 12.11	    -	 12.41	    -	 13.11	    -	 13.41	    -	 14.11	    -	 14.41	    -	 15.11	    -	 15.41	    -	 16.11	    -	 16.41	    -	 17.11	    -	 17.41	    -	 18.11	    -	 18.41	    -	 19.11	    -	 19.55	    -	 20.25	    -	 20.55	    -	 21.25	    -	 21.55	    -	 22.25	    -	 22.55	    -	 23.25	 23.25	    -	 23.55	 23.55	    -	 24.25
4	1768	Hafnerweg	1	    -	    -	    -	 05.56	    -	 06.26	    -	 06.56	    -	 07.26	    -	 07.56	    -	 08.26	    -	 08.56	    -	 09.26	    -	 09.56	    -	 10.26	    -	 10.56	    -	 11.12	    -	 11.42	    -	 12.12	    -	 12.42	    -	 13.12	    -	 13.42	    -	 14.12	    -	 14.42	    -	 15.12	    -	 15.42	    -	 16.12	    -	 16.42	    -	 17.12	    -	 17.42	    -	 18.12	    -	 18.42	    -	 19.12	    -	 19.56	    -	 20.26	    -	 20.56	    -	 21.26	    -	 21.56	    -	 22.26	    -	 22.56	    -	 23.26	 23.26	    -	 23.56	 23.56	    -	 24.26
5	1769	Reichenberger Straﬂe	1	    -	    -	    -	 05.57	    -	 06.27	    -	 06.57	    -	 07.27	    -	 07.57	    -	 08.27	    -	 08.57	    -	 09.27	    -	 09.57	    -	 10.27	    -	 10.57	    -	 11.13	    -	 11.43	    -	 12.13	    -	 12.43	    -	 13.13	    -	 13.43	    -	 14.13	    -	 14.43	    -	 15.13	    -	 15.43	    -	 16.13	    -	 16.43	    -	 17.13	    -	 17.43	    -	 18.13	    -	 18.43	    -	 19.13	    -	 19.57	    -	 20.27	    -	 20.57	    -	 21.27	    -	 21.57	    -	 22.27	    -	 22.57	    -	 23.27	 23.27	    -	 23.57	 23.57	    -	 24.27
6	1772	Danziger Straﬂe	1	    -	    -	    -	 05.58	    -	 06.28	    -	 06.58	    -	 07.28	    -	 07.58	    -	 08.28	    -	 08.58	    -	 09.28	    -	 09.58	    -	 10.28	    -	 10.58	    -	 11.14	    -	 11.44	    -	 12.14	    -	 12.44	    -	 13.14	    -	 13.44	    -	 14.14	    -	 14.44	    -	 15.14	    -	 15.44	    -	 16.14	    -	 16.44	    -	 17.14	    -	 17.44	    -	 18.14	    -	 18.44	    -	 19.14	    -	 19.58	    -	 20.28	    -	 20.58	    -	 21.28	    -	 21.58	    -	 22.28	    -	 22.58	    -	 23.28	 23.28	    -	 23.58	 23.58	    -	 24.28
7	1727	Wiley S¸d	1	    -	    -	    -	 05.59	    -	 06.29	    -	 06.59	    -	 07.29	    -	 07.59	    -	 08.29	    -	 08.59	    -	 09.29	    -	 09.59	    -	 10.29	    -	 10.59	    -	 11.16	    -	 11.46	    -	 12.16	    -	 12.46	    -	 13.16	    -	 13.46	    -	 14.16	    -	 14.46	    -	 15.16	    -	 15.46	    -	 16.16	    -	 16.46	    -	 17.16	    -	 17.46	    -	 18.16	    -	 18.46	    -	 19.16	    -	 19.59	    -	 20.29	    -	 20.59	    -	 21.29	    -	 21.59	    -	 22.29	    -	 22.59	    -	 23.29	 23.29	    -	 23.59	 23.59	    -	 24.29
