			Fahrtenschlüssel	05:15	05:25	05:45	06:05	06:25	06:45	06:47	07:05	07:07	07:25	07:27	07:45	07:47	08:05	08:07	08:25	08:27	08:45	08:47	09:05	09:25	09:45	10:05	10:25	10:45	11:05	11:25	11:45	12:05	12:07	12:25	12:27	12:45	12:47	13:05	13:07	13:25	13:27	13:45	13:47	14:05	14:07	14:25	14:27	14:45	14:47	15:05	15:07	15:25	15:27	15:45	15:47	16:05	16:07	16:25	16:27	16:45	16:47	17:05	17:07	17:25	17:27	17:45	17:47	18:05	18:07	18:25	18:27	18:45	19:05	19:25	19:46	20:16	20:51	21:21	21:51	22:21	22:51	23:21	23:51	24:21
			Verkehrsbeschränkung																																																																																	
			Hinweis																																																																																	Fa
			Transportgefäßtyp	10	10	10	10	10	11	10	10	10	11	10	10	10	11	10	11	10	11	10	10	10	10	10	10	10	10	10	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	10	10	10	10	10	10	31	10	10	10	10	31	10
1	1052	Donaustadion	3	    -	 05.25	 05.45	 06.05	 06.25	    -	 06.45	    -	 07.05	    -	 07.25	    -	 07.45	    -	 08.05	    -	 08.25	    -	 08.45	 09.05	 09.25	 09.45	 10.05	 10.25	 10.45	 11.05	 11.25	 11.45	    -	 12.05	    -	 12.25	    -	 12.45	    -	 13.05	    -	 13.25	    -	 13.45	    -	 14.05	    -	 14.25	    -	 14.45	    -	 15.05	    -	 15.25	    -	 15.45	    -	 16.05	    -	 16.25	    -	 16.45	    -	 17.05	    -	 17.25	    -	 17.45	    -	 18.05	    -	 18.25	 18.45	 19.05	 19.25	 19.46	 20.16	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21
2	1049	Congress Centrum	1	    -	 05.27	 05.47	 06.07	 06.27	    -	 06.47	    -	 07.07	    -	 07.27	    -	 07.47	    -	 08.07	    -	 08.27	    -	 08.47	 09.07	 09.27	 09.47	 10.07	 10.27	 10.47	 11.07	 11.27	 11.47	    -	 12.07	    -	 12.27	    -	 12.47	    -	 13.07	    -	 13.27	    -	 13.47	    -	 14.07	    -	 14.27	    -	 14.47	    -	 15.07	    -	 15.27	    -	 15.47	    -	 16.07	    -	 16.27	    -	 16.47	    -	 17.07	    -	 17.27	    -	 17.47	    -	 18.07	    -	 18.27	 18.47	 19.07	 19.27	 19.47	 20.17	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22
3	1006	Gänsturm	1	    -	 05.28	 05.48	 06.08	 06.28	    -	 06.48	    -	 07.08	    -	 07.28	    -	 07.48	    -	 08.08	    -	 08.28	    -	 08.48	 09.08	 09.28	 09.48	 10.08	 10.28	 10.48	 11.08	 11.28	 11.48	    -	 12.08	    -	 12.28	    -	 12.48	    -	 13.08	    -	 13.28	    -	 13.48	    -	 14.08	    -	 14.28	    -	 14.48	    -	 15.08	    -	 15.28	    -	 15.48	    -	 16.08	    -	 16.28	    -	 16.48	    -	 17.08	    -	 17.28	    -	 17.48	    -	 18.08	    -	 18.28	 18.48	 19.08	 19.28	 19.48	 20.18	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23
4	1005	Haus der Begegnung	1	    -	 05.29	 05.49	 06.09	 06.29	    -	 06.49	    -	 07.09	    -	 07.29	    -	 07.49	    -	 08.09	    -	 08.29	    -	 08.49	 09.09	 09.29	 09.49	 10.09	 10.29	 10.49	 11.09	 11.29	 11.49	    -	 12.09	    -	 12.29	    -	 12.49	    -	 13.09	    -	 13.29	    -	 13.49	    -	 14.09	    -	 14.29	    -	 14.49	    -	 15.09	    -	 15.29	    -	 15.49	    -	 16.09	    -	 16.29	    -	 16.49	    -	 17.09	    -	 17.29	    -	 17.49	    -	 18.09	    -	 18.29	 18.49	 19.09	 19.29	 19.49	 20.19	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24
5	1002	Rathaus Ulm	2	    -	 05.31	 05.51	 06.11	 06.31	    -	 06.51	    -	 07.11	    -	 07.31	    -	 07.51	    -	 08.11	    -	 08.31	    -	 08.51	 09.11	 09.31	 09.51	 10.11	 10.31	 10.51	 11.11	 11.31	 11.51	    -	 12.11	    -	 12.31	    -	 12.51	    -	 13.11	    -	 13.31	    -	 13.51	    -	 14.11	    -	 14.31	    -	 14.51	    -	 15.11	    -	 15.31	    -	 15.51	    -	 16.11	    -	 16.31	    -	 16.51	    -	 17.11	    -	 17.31	    -	 17.51	    -	 18.11	    -	 18.31	 18.51	 19.11	 19.31	 19.51	 20.21	 20.56	 21.26	 21.56	 22.26	 22.56	 23.26	 23.56	 24.26
6	1001	Steinerne Brücke	2	    -	 05.32	 05.52	 06.12	 06.32	    -	 06.52	    -	 07.12	    -	 07.32	    -	 07.52	    -	 08.12	    -	 08.32	    -	 08.52	 09.12	 09.32	 09.52	 10.12	 10.32	 10.52	 11.12	 11.32	 11.52	    -	 12.12	    -	 12.32	    -	 12.52	    -	 13.12	    -	 13.32	    -	 13.52	    -	 14.12	    -	 14.32	    -	 14.52	    -	 15.12	    -	 15.32	    -	 15.52	    -	 16.12	    -	 16.32	    -	 16.52	    -	 17.12	    -	 17.32	    -	 17.52	    -	 18.12	    -	 18.32	 18.52	 19.12	 19.32	 19.52	 20.22	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27
7	1008	Hauptbahnhof	1	 05.15	 05.35	 05.55	 06.15	 06.35	 06.45	 06.55	 07.05	 07.15	 07.25	 07.35	 07.45	 07.55	 08.05	 08.15	 08.25	 08.35	 08.45	 08.55	 09.15	 09.35	 09.55	 10.15	 10.35	 10.55	 11.15	 11.35	 11.55	 12.05	 12.15	 12.25	 12.35	 12.45	 12.55	 13.05	 13.15	 13.25	 13.35	 13.45	 13.55	 14.05	 14.15	 14.25	 14.35	 14.45	 14.55	 15.05	 15.15	 15.25	 15.35	 15.45	 15.55	 16.05	 16.15	 16.25	 16.35	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05	 18.15	 18.25	 18.35	 18.55	 19.15	 19.35	 19.55	 20.25	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30
