			Fahrtenschlüssel	05:13	05:28	05:43	05:49	06:13	06:19	06:43	06:49	07:13	07:19	07:43	07:49	08:13	08:19	08:43	08:49	09:10	09:12	09:28	09:30	09:45	09:47	10:05	10:07	10:25	10:27	10:45	10:47	11:05	11:07	11:25	11:27	11:45	11:47	12:05	12:07	12:25	12:27	12:45	12:47	13:05	13:07	13:25	13:27	13:45	13:47	14:05	14:07	14:25	14:27	14:45	14:47	15:05	15:07	15:25	15:27	15:45	15:49	16:13	16:19	16:43	16:49	17:13	17:19	17:43	17:49	18:13	18:19	18:43	18:49	19:13	19:19	19:43	19:49	20:13	20:21	20:51	21:21	21:51	22:21	22:51	23:21	23:51	24:21
			Verkehrsbeschränkung																																																																																				
			Hinweis																																																																																				
			Transportgefäßtyp	11	10	11	11	11	10	11	11	11	10	11	11	11	10	11	11	10	10	11	11	10	11	11	10	10	11	11	11	10	10	11	11	10	11	11	10	10	11	11	11	10	10	11	11	10	11	11	10	10	11	11	11	10	10	11	11	10	11	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	31	10	10	10	10	31	10	10
1	1052	Donaustadion	3	    -	    -	    -	 05.49	    -	 06.19	    -	 06.49	    -	 07.19	    -	 07.49	    -	 08.19	    -	 08.49	    -	 09.09	    -	 09.25	    -	 09.45	    -	 10.05	    -	 10.25	    -	 10.45	    -	 11.05	    -	 11.25	    -	 11.45	    -	 12.05	    -	 12.25	    -	 12.45	    -	 13.05	    -	 13.25	    -	 13.45	    -	 14.05	    -	 14.25	    -	 14.45	    -	 15.05	    -	 15.25	    -	 15.49	    -	 16.19	    -	 16.49	    -	 17.19	    -	 17.49	    -	 18.19	    -	 18.49	    -	 19.19	    -	 19.49	    -	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21
2	1049	Congress Centrum	1	    -	    -	    -	 05.50	    -	 06.20	    -	 06.50	    -	 07.20	    -	 07.50	    -	 08.20	    -	 08.50	    -	 09.10	    -	 09.27	    -	 09.47	    -	 10.07	    -	 10.27	    -	 10.47	    -	 11.07	    -	 11.27	    -	 11.47	    -	 12.07	    -	 12.27	    -	 12.47	    -	 13.07	    -	 13.27	    -	 13.47	    -	 14.07	    -	 14.27	    -	 14.47	    -	 15.07	    -	 15.27	    -	 15.50	    -	 16.20	    -	 16.50	    -	 17.20	    -	 17.50	    -	 18.20	    -	 18.50	    -	 19.20	    -	 19.50	    -	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22
3	1006	Gänsturm	1	    -	    -	    -	 05.51	    -	 06.21	    -	 06.51	    -	 07.21	    -	 07.51	    -	 08.21	    -	 08.51	    -	 09.11	    -	 09.28	    -	 09.48	    -	 10.08	    -	 10.28	    -	 10.48	    -	 11.08	    -	 11.28	    -	 11.48	    -	 12.08	    -	 12.28	    -	 12.48	    -	 13.08	    -	 13.28	    -	 13.48	    -	 14.08	    -	 14.28	    -	 14.48	    -	 15.08	    -	 15.28	    -	 15.51	    -	 16.21	    -	 16.51	    -	 17.21	    -	 17.51	    -	 18.21	    -	 18.51	    -	 19.21	    -	 19.51	    -	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23
4	1005	Haus der Begegnung	1	    -	    -	    -	 05.52	    -	 06.22	    -	 06.52	    -	 07.22	    -	 07.52	    -	 08.22	    -	 08.52	    -	 09.12	    -	 09.29	    -	 09.49	    -	 10.09	    -	 10.29	    -	 10.49	    -	 11.09	    -	 11.29	    -	 11.49	    -	 12.09	    -	 12.29	    -	 12.49	    -	 13.09	    -	 13.29	    -	 13.49	    -	 14.09	    -	 14.29	    -	 14.49	    -	 15.09	    -	 15.29	    -	 15.52	    -	 16.22	    -	 16.52	    -	 17.22	    -	 17.52	    -	 18.22	    -	 18.52	    -	 19.22	    -	 19.52	    -	 20.24	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24
5	1002	Rathaus Ulm	2	    -	    -	    -	 05.54	    -	 06.24	    -	 06.54	    -	 07.24	    -	 07.54	    -	 08.24	    -	 08.54	    -	 09.14	    -	 09.31	    -	 09.51	    -	 10.11	    -	 10.31	    -	 10.51	    -	 11.11	    -	 11.31	    -	 11.51	    -	 12.11	    -	 12.31	    -	 12.51	    -	 13.11	    -	 13.31	    -	 13.51	    -	 14.11	    -	 14.31	    -	 14.51	    -	 15.11	    -	 15.31	    -	 15.54	    -	 16.24	    -	 16.54	    -	 17.24	    -	 17.54	    -	 18.24	    -	 18.54	    -	 19.24	    -	 19.54	    -	 20.26	 20.56	 21.26	 21.56	 22.26	 22.56	 23.26	 23.56	 24.26
6	1001	Steinerne Brücke	2	    -	    -	    -	 05.55	    -	 06.25	    -	 06.55	    -	 07.25	    -	 07.55	    -	 08.25	    -	 08.55	    -	 09.15	    -	 09.32	    -	 09.52	    -	 10.12	    -	 10.32	    -	 10.52	    -	 11.12	    -	 11.32	    -	 11.52	    -	 12.12	    -	 12.32	    -	 12.52	    -	 13.12	    -	 13.32	    -	 13.52	    -	 14.12	    -	 14.32	    -	 14.52	    -	 15.12	    -	 15.32	    -	 15.55	    -	 16.25	    -	 16.55	    -	 17.25	    -	 17.55	    -	 18.25	    -	 18.55	    -	 19.25	    -	 19.55	    -	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27
7	1008	Hauptbahnhof	1	 05.13	 05.28	 05.43	 05.58	 06.13	 06.28	 06.43	 06.58	 07.13	 07.28	 07.43	 07.58	 08.13	 08.28	 08.43	 08.58	 09.08	 09.18	 09.25	 09.35	 09.45	 09.55	 10.05	 10.15	 10.25	 10.35	 10.45	 10.55	 11.05	 11.15	 11.25	 11.35	 11.45	 11.55	 12.05	 12.15	 12.25	 12.35	 12.45	 12.55	 13.05	 13.15	 13.25	 13.35	 13.45	 13.55	 14.05	 14.15	 14.25	 14.35	 14.45	 14.55	 15.05	 15.15	 15.25	 15.35	 15.45	 15.58	 16.13	 16.28	 16.43	 16.58	 17.13	 17.28	 17.43	 17.58	 18.13	 18.28	 18.43	 18.58	 19.13	 19.28	 19.43	 19.58	 20.13	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30
