			Fahrtenschlüssel	05:30	06:00	06:30	06:51	07:21	07:51	08:21	08:51	09:21	09:51	10:21	10:51	11:13	11:19	11:43	11:49	12:13	12:19	12:43	12:49	13:13	13:19	13:43	13:49	14:13	14:19	14:43	14:49	15:13	15:19	15:43	15:49	16:13	16:19	16:43	16:49	17:13	17:19	17:43	17:49	18:13	18:19	18:43	18:49	19:13	19:19	19:43	19:49	20:13	20:21	20:51	21:21	21:51	22:21	22:51	23:21	23:51	24:21
			Verkehrsbeschränkung																																																										
			Hinweis																																																										Fb
			Transportgefäßtyp	10	10	10	10	31	10	10	10	10	31	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	31	10	10	10	10	31	10	10	10
1	1052	Donaustadion	3	    -	    -	    -	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	    -	 11.19	    -	 11.49	    -	 12.19	    -	 12.49	    -	 13.19	    -	 13.49	    -	 14.19	    -	 14.49	    -	 15.19	    -	 15.49	    -	 16.19	    -	 16.49	    -	 17.19	    -	 17.49	    -	 18.19	    -	 18.49	    -	 19.19	    -	 19.49	    -	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21
2	1049	Congress Centrum	1	    -	    -	    -	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	    -	 11.20	    -	 11.50	    -	 12.20	    -	 12.50	    -	 13.20	    -	 13.50	    -	 14.20	    -	 14.50	    -	 15.20	    -	 15.50	    -	 16.20	    -	 16.50	    -	 17.20	    -	 17.50	    -	 18.20	    -	 18.50	    -	 19.20	    -	 19.50	    -	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22
3	1006	Gänsturm	1	    -	    -	    -	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	    -	 11.21	    -	 11.51	    -	 12.21	    -	 12.51	    -	 13.21	    -	 13.51	    -	 14.21	    -	 14.51	    -	 15.21	    -	 15.51	    -	 16.21	    -	 16.51	    -	 17.21	    -	 17.51	    -	 18.21	    -	 18.51	    -	 19.21	    -	 19.51	    -	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23
4	1005	Haus der Begegnung	1	    -	    -	    -	 06.54	 07.24	 07.54	 08.24	 08.54	 09.24	 09.54	 10.24	 10.54	    -	 11.22	    -	 11.52	    -	 12.22	    -	 12.52	    -	 13.22	    -	 13.52	    -	 14.22	    -	 14.52	    -	 15.22	    -	 15.52	    -	 16.22	    -	 16.52	    -	 17.22	    -	 17.52	    -	 18.22	    -	 18.52	    -	 19.22	    -	 19.52	    -	 20.24	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24
5	1002	Rathaus Ulm	2	    -	    -	    -	 06.56	 07.26	 07.56	 08.26	 08.56	 09.26	 09.56	 10.26	 10.56	    -	 11.24	    -	 11.54	    -	 12.24	    -	 12.54	    -	 13.24	    -	 13.54	    -	 14.24	    -	 14.54	    -	 15.24	    -	 15.54	    -	 16.24	    -	 16.54	    -	 17.24	    -	 17.54	    -	 18.24	    -	 18.54	    -	 19.24	    -	 19.54	    -	 20.26	 20.56	 21.26	 21.56	 22.26	 22.56	 23.26	 23.56	 24.26
6	1001	Steinerne Brücke	2	    -	    -	    -	 06.57	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	    -	 11.25	    -	 11.55	    -	 12.25	    -	 12.55	    -	 13.25	    -	 13.55	    -	 14.25	    -	 14.55	    -	 15.25	    -	 15.55	    -	 16.25	    -	 16.55	    -	 17.25	    -	 17.55	    -	 18.25	    -	 18.55	    -	 19.25	    -	 19.55	    -	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27
7	1008	Hauptbahnhof	1	 05.30	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.13	 11.28	 11.43	 11.58	 12.13	 12.28	 12.43	 12.58	 13.13	 13.28	 13.43	 13.58	 14.13	 14.28	 14.43	 14.58	 15.13	 15.28	 15.43	 15.58	 16.13	 16.28	 16.43	 16.58	 17.13	 17.28	 17.43	 17.58	 18.13	 18.28	 18.43	 18.58	 19.13	 19.28	 19.43	 19.58	 20.13	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30
8	1010	Theater	3	 05.32	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	 09.02	 09.32	 10.02	 10.32	 11.02	 11.15	 11.30	 11.45	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 13.45	 14.00	 14.15	 14.30	 14.45	 15.00	 15.15	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.00	 20.15	 20.32	 21.02	 21.32	 22.02	 22.32	 23.02	 23.32	 24.02	 24.32
9	1039	Kienlesberg	1	 05.34	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.17	 11.32	 11.47	 12.02	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.47	 14.02	 14.17	 14.32	 14.47	 15.02	 15.17	 15.32	 15.47	 16.02	 16.17	 16.32	 16.47	 17.02	 17.17	 17.32	 17.47	 18.02	 18.17	 18.32	 18.47	 19.02	 19.17	 19.32	 19.47	 20.02	 20.17	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	 24.34
10	1232	Lehrer Tal	1	 05.35	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.18	 11.33	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 14.03	 14.18	 14.33	 14.48	 15.03	 15.18	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.03	 19.18	 19.33	 19.48	 20.03	 20.18	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35
11	1225	Bleicher Hag	1	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.19	 11.34	 11.49	 12.04	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 13.49	 14.04	 14.19	 14.34	 14.49	 15.04	 15.19	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.04	 19.19	 19.34	 19.49	 20.04	 20.19	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
12	1222	Beringerbrücke	1	 05.37	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.20	 11.35	 11.50	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.50	 14.05	 14.20	 14.35	 14.50	 15.05	 15.20	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.20	 19.35	 19.50	 20.05	 20.20	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.37
13	1220	Bahnhof Söflingen	1	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.21	 11.36	 11.51	 12.06	 12.21	 12.36	 12.51	 13.06	 13.21	 13.36	 13.51	 14.06	 14.21	 14.36	 14.51	 15.06	 15.21	 15.36	 15.51	 16.06	 16.21	 16.36	 16.51	 17.06	 17.21	 17.36	 17.51	 18.06	 18.21	 18.36	 18.51	 19.06	 19.21	 19.36	 19.51	 20.06	 20.21	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38
14	1218	Lupferbrücke	1	 05.39	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.22	 11.37	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 13.52	 14.07	 14.22	 14.37	 14.52	 15.07	 15.22	 15.37	 15.52	 16.07	 16.22	 16.37	 16.52	 17.07	 17.22	 17.37	 17.52	 18.07	 18.22	 18.37	 18.52	 19.07	 19.22	 19.37	 19.52	 20.07	 20.22	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.39
15	1280	Beim Türmle	1	 05.40	 06.10	 06.40	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.23	 11.38	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 13.53	 14.08	 14.23	 14.38	 14.53	 15.08	 15.23	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.23	 19.38	 19.53	 20.08	 20.23	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.40
16	1281	Stachelbeerweg	1	 05.41	 06.11	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.24	 11.39	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 19.54	 20.09	 20.24	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	 24.41
17	1261	Traminerweg	1	 05.42	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.25	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.55	 14.10	 14.25	 14.40	 14.55	 15.10	 15.25	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.10	 19.25	 19.40	 19.55	 20.10	 20.25	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
18	1251	Kelternweg	1	 05.42	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.25	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.55	 14.10	 14.25	 14.40	 14.55	 15.10	 15.25	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.10	 19.25	 19.40	 19.55	 20.10	 20.25	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
19	1200	Eselsberg Hasenkopf	1	 05.43	 06.13	 06.43	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.26	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.11	 14.26	 14.41	 14.56	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.26	 19.41	 19.56	 20.11	 20.26	 20.43	 21.13	 21.43	 22.13	 22.43	 23.13	 23.43	 24.13	 24.43
20	1240	Universität Süd	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
