			Fahrtenschlüssel	04:59	05:14	05:29	05:44	05:59	06:14	06:29	06:44	06:59	07:14	07:29	07:44	07:59	08:14	08:29	08:44	08:59	09:14	09:28	09:38	09:48	09:58	10:08	10:18	10:28	10:38	10:48	10:58	11:08	11:18	11:28	11:38	11:48	11:58	12:08	12:18	12:28	12:38	12:48	12:58	13:08	13:18	13:28	13:38	13:48	13:58	14:08	14:18	14:28	14:38	14:48	14:58	15:08	15:18	15:28	15:44	15:59	16:14	16:29	16:44	16:59	17:14	17:29	17:44	17:59	18:14	18:29	18:44	18:59	19:14	19:29	19:44	19:59	20:16	20:46	21:16	21:46	22:16	22:46	23:16	23:46	24:16
			Verkehrsbeschränkung																																																																																		
			Hinweis																																																																																		
			Transportgefäßtyp	11	10	11	10	11	11	11	10	11	11	11	10	11	11	11	10	11	11	10	10	11	11	10	11	11	10	10	11	11	11	10	10	11	11	10	11	11	10	10	11	11	11	10	10	11	11	10	11	11	10	10	11	11	11	10	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	10	31	10	10	10	10	31	10
1	1240	Universität Süd	3	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
2	1200	Eselsberg Hasenkopf	4	 04.59	 05.14	 05.29	 05.44	 05.59	 06.14	 06.29	 06.44	 06.59	 07.14	 07.29	 07.44	 07.59	 08.14	 08.29	 08.44	 08.59	 09.14	 09.28	 09.38	 09.48	 09.58	 10.08	 10.18	 10.28	 10.38	 10.48	 10.58	 11.08	 11.18	 11.28	 11.38	 11.48	 11.58	 12.08	 12.18	 12.28	 12.38	 12.48	 12.58	 13.08	 13.18	 13.28	 13.38	 13.48	 13.58	 14.08	 14.18	 14.28	 14.38	 14.48	 14.58	 15.08	 15.18	 15.28	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 19.59	 20.16	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.16
3	1251	Kelternweg	2	 04.59	 05.14	 05.29	 05.44	 05.59	 06.14	 06.29	 06.44	 06.59	 07.14	 07.29	 07.44	 07.59	 08.14	 08.29	 08.44	 08.59	 09.14	 09.28	 09.38	 09.48	 09.58	 10.08	 10.18	 10.28	 10.38	 10.48	 10.58	 11.08	 11.18	 11.28	 11.38	 11.48	 11.58	 12.08	 12.18	 12.28	 12.38	 12.48	 12.58	 13.08	 13.18	 13.28	 13.38	 13.48	 13.58	 14.08	 14.18	 14.28	 14.38	 14.48	 14.58	 15.08	 15.18	 15.28	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 19.59	 20.16	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.16
4	1261	Traminerweg	2	 05.00	 05.15	 05.30	 05.45	 06.00	 06.15	 06.30	 06.45	 07.00	 07.15	 07.30	 07.45	 08.00	 08.15	 08.30	 08.45	 09.00	 09.15	 09.29	 09.39	 09.49	 09.59	 10.09	 10.19	 10.29	 10.39	 10.49	 10.59	 11.09	 11.19	 11.29	 11.39	 11.49	 11.59	 12.09	 12.19	 12.29	 12.39	 12.49	 12.59	 13.09	 13.19	 13.29	 13.39	 13.49	 13.59	 14.09	 14.19	 14.29	 14.39	 14.49	 14.59	 15.09	 15.19	 15.29	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.00	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17
5	1260	Ruländerweg	4	 05.00	 05.15	 05.30	 05.45	 06.00	 06.15	 06.30	 06.45	 07.00	 07.15	 07.30	 07.45	 08.00	 08.15	 08.30	 08.45	 09.00	 09.15	 09.30	 09.40	 09.50	 10.00	 10.10	 10.20	 10.30	 10.40	 10.50	 11.00	 11.10	 11.20	 11.30	 11.40	 11.50	 12.00	 12.10	 12.20	 12.30	 12.40	 12.50	 13.00	 13.10	 13.20	 13.30	 13.40	 13.50	 14.00	 14.10	 14.20	 14.30	 14.40	 14.50	 15.00	 15.10	 15.20	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.00	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17
6	1281	Stachelbeerweg	2	 05.01	 05.16	 05.31	 05.46	 06.01	 06.16	 06.31	 06.46	 07.01	 07.16	 07.31	 07.46	 08.01	 08.16	 08.31	 08.46	 09.01	 09.16	 09.31	 09.41	 09.51	 10.01	 10.11	 10.21	 10.31	 10.41	 10.51	 11.01	 11.11	 11.21	 11.31	 11.41	 11.51	 12.01	 12.11	 12.21	 12.31	 12.41	 12.51	 13.01	 13.11	 13.21	 13.31	 13.41	 13.51	 14.01	 14.11	 14.21	 14.31	 14.41	 14.51	 15.01	 15.11	 15.21	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.01	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18
7	1280	Beim Türmle	2	 05.01	 05.16	 05.31	 05.46	 06.01	 06.16	 06.31	 06.46	 07.01	 07.16	 07.31	 07.46	 08.01	 08.16	 08.31	 08.46	 09.01	 09.16	 09.31	 09.41	 09.51	 10.01	 10.11	 10.21	 10.31	 10.41	 10.51	 11.01	 11.11	 11.21	 11.31	 11.41	 11.51	 12.01	 12.11	 12.21	 12.31	 12.41	 12.51	 13.01	 13.11	 13.21	 13.31	 13.41	 13.51	 14.01	 14.11	 14.21	 14.31	 14.41	 14.51	 15.01	 15.11	 15.21	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.01	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18
