		Fahrtenschl¸ssel	04:55	05:25	05:31	06:01	06:31	07:01	07:31	08:01	08:26	08:46	09:06	09:26	09:46	10:06	10:26	10:46	11:06	11:26	11:46	12:06	12:26	12:46	13:06	13:26	13:46	14:06	14:26	14:46	15:06	15:26	15:46	16:06	16:31	17:01	17:31	18:01	18:31	19:01	19:36	20:13	20:43	21:13	21:43	22:13	22:43	23:13	23:43	24:13
		Verkehrsbeschr‰nkung																																																
		Hinweis																																																
		Transportgef‰ﬂtyp	31	10	31	10	31	10	31	10	31	10	31	10	10	31	10	31	10	10	31	10	31	10	10	31	10	31	10	10	31	10	31	10	10	31	10	10	10	31	10	10	10	10	31	10	10	10	10	31
1	1050	Willy-Brandt-Platz	    -	    -	 05.31	 06.01	 06.31	 07.01	 07.31	 08.01	 08.26	 08.46	 09.06	 09.26	 09.46	 10.06	 10.26	 10.46	 11.06	 11.26	 11.46	 12.06	 12.26	 12.46	 13.06	 13.26	 13.46	 14.06	 14.26	 14.46	 15.06	 15.26	 15.46	 16.06	 16.31	 17.01	 17.31	 18.01	 18.31	 19.01	 19.36	 20.13	 20.43	 21.13	 21.43	 22.13	 22.43	 23.13	 23.43	 24.13
2	1049	Congress Centrum	    -	    -	 05.32	 06.02	 06.32	 07.02	 07.32	 08.02	 08.27	 08.47	 09.07	 09.27	 09.47	 10.07	 10.27	 10.47	 11.07	 11.27	 11.47	 12.07	 12.27	 12.47	 13.07	 13.27	 13.47	 14.07	 14.27	 14.47	 15.07	 15.27	 15.47	 16.07	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.37	 20.14	 20.44	 21.14	 21.44	 22.14	 22.44	 23.14	 23.44	 24.14
3	1714	Kasernstraﬂe	    -	    -	 05.34	 06.04	 06.34	 07.04	 07.34	 08.04	 08.29	 08.49	 09.09	 09.29	 09.49	 10.09	 10.29	 10.49	 11.09	 11.29	 11.49	 12.09	 12.29	 12.49	 13.09	 13.29	 13.49	 14.09	 14.29	 14.49	 15.09	 15.29	 15.49	 16.09	 16.34	 17.04	 17.34	 18.04	 18.34	 19.04	 19.39	 20.16	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.16
4	1729	Meininger Allee	    -	    -	 05.35	 06.05	 06.35	 07.05	 07.35	 08.05	 08.30	 08.50	 09.10	 09.30	 09.50	 10.10	 10.30	 10.50	 11.10	 11.30	 11.50	 12.10	 12.30	 12.50	 13.10	 13.30	 13.50	 14.10	 14.30	 14.50	 15.10	 15.30	 15.50	 16.10	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05	 19.40	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17
5	1700	ZUP	    -	    -	 05.37	 06.07	 06.37	 07.07	 07.37	 08.07	 08.32	 08.52	 09.12	 09.32	 09.52	 10.12	 10.32	 10.52	 11.12	 11.32	 11.52	 12.12	 12.32	 12.52	 13.12	 13.32	 13.52	 14.12	 14.32	 14.52	 15.12	 15.32	 15.52	 16.12	 16.37	 17.07	 17.37	 18.07	 18.37	 19.07	 19.42	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18
6	1710	Rathaus Neu-Ulm	    -	    -	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.33	 08.53	 09.13	 09.33	 09.53	 10.13	 10.33	 10.53	 11.13	 11.33	 11.53	 12.13	 12.33	 12.53	 13.13	 13.33	 13.53	 14.13	 14.33	 14.53	 15.13	 15.33	 15.53	 16.13	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08	 19.43	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19
7	1707	Donaucenter	    -	    -	 05.40	 06.10	 06.40	 07.10	 07.40	 08.10	 08.35	 08.55	 09.15	 09.35	 09.55	 10.15	 10.35	 10.55	 11.15	 11.35	 11.55	 12.15	 12.35	 12.55	 13.15	 13.35	 13.55	 14.15	 14.35	 14.55	 15.15	 15.35	 15.55	 16.15	 16.40	 17.10	 17.40	 18.10	 18.40	 19.10	 19.45	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21
8	1739	Donauklinik	    -	    -	 05.41	 06.11	 06.41	 07.11	 07.41	 08.11	 08.36	 08.56	 09.16	 09.36	 09.56	 10.16	 10.36	 10.56	 11.16	 11.36	 11.56	 12.16	 12.36	 12.56	 13.16	 13.36	 13.56	 14.16	 14.36	 14.56	 15.16	 15.36	 15.56	 16.16	 16.41	 17.11	 17.41	 18.11	 18.41	 19.11	 19.46	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22
9	1705	Amtsgericht	    -	    -	 05.42	 06.12	 06.42	 07.12	 07.42	 08.12	 08.37	 08.57	 09.17	 09.37	 09.57	 10.17	 10.37	 10.57	 11.17	 11.37	 11.57	 12.17	 12.37	 12.57	 13.17	 13.37	 13.57	 14.17	 14.37	 14.57	 15.17	 15.37	 15.57	 16.17	 16.42	 17.12	 17.42	 18.12	 18.42	 19.12	 19.47	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23
10	1701	Adenauerbr¸cke	    -	    -	 05.43	 06.13	 06.43	 07.13	 07.43	 08.13	 08.38	 08.58	 09.18	 09.38	 09.58	 10.18	 10.38	 10.58	 11.18	 11.38	 11.58	 12.18	 12.38	 12.58	 13.18	 13.38	 13.58	 14.18	 14.38	 14.58	 15.18	 15.38	 15.58	 16.18	 16.43	 17.13	 17.43	 18.13	 18.43	 19.13	 19.48	 20.24	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24
11	1350	Ehinger Tor	 04.55	 05.25	 05.46	 06.16	 06.46	 07.16	 07.46	 08.16	 08.41	 09.01	 09.21	 09.41	 10.01	 10.21	 10.41	 11.01	 11.21	 11.41	 12.01	 12.21	 12.41	 13.01	 13.21	 13.41	 14.01	 14.21	 14.41	 15.01	 15.21	 15.41	 16.01	 16.21	 16.46	 17.16	 17.46	 18.16	 18.46	 19.16	 19.51	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27
12	1008	Hauptbahnhof	 04.58	 05.28	 05.49	 06.19	 06.49	 07.19	 07.49	 08.19	 08.44	 09.04	 09.24	 09.44	 10.04	 10.24	 10.44	 11.04	 11.24	 11.44	 12.04	 12.24	 12.44	 13.04	 13.24	 13.44	 14.04	 14.24	 14.44	 15.04	 15.24	 15.44	 16.04	 16.24	 16.49	 17.19	 17.49	 18.19	 18.49	 19.19	 19.54	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30
13	1010	Theater	 05.00	 05.30	 05.51	 06.21	 06.51	 07.21	 07.51	 08.21	 08.46	 09.06	 09.26	 09.46	 10.06	 10.26	 10.46	 11.06	 11.26	 11.46	 12.06	 12.26	 12.46	 13.06	 13.26	 13.46	 14.06	 14.26	 14.46	 15.06	 15.26	 15.46	 16.06	 16.26	 16.51	 17.21	 17.51	 18.21	 18.51	 19.21	 19.56	 20.32	 21.02	 21.32	 22.02	 22.32	 23.02	 23.32	 24.02	 24.32
14	1020	Karlstraﬂe	 05.01	 05.31	 05.52	 06.22	 06.52	 07.22	 07.52	 08.22	 08.47	 09.07	 09.27	 09.47	 10.07	 10.27	 10.47	 11.07	 11.27	 11.47	 12.07	 12.27	 12.47	 13.07	 13.27	 13.47	 14.07	 14.27	 14.47	 15.07	 15.27	 15.47	 16.07	 16.27	 16.52	 17.22	 17.52	 18.22	 18.52	 19.22	 19.57	 20.33	 21.03	 21.33	 22.03	 22.33	 23.03	 23.33	 24.03	 24.33
15	1025	Frauenstraﬂe / DRK	 05.03	 05.33	 05.54	 06.24	 06.54	 07.24	 07.54	 08.24	 08.49	 09.09	 09.29	 09.49	 10.09	 10.29	 10.49	 11.09	 11.29	 11.49	 12.09	 12.29	 12.49	 13.09	 13.29	 13.49	 14.09	 14.29	 14.49	 15.09	 15.29	 15.49	 16.09	 16.29	 16.54	 17.24	 17.54	 18.24	 18.54	 19.24	 19.59	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35
16	1032	Schillerhˆhe	 05.05	 05.35	 05.56	 06.26	 06.56	 07.26	 07.56	 08.26	 08.51	 09.11	 09.31	 09.51	 10.11	 10.31	 10.51	 11.11	 11.31	 11.51	 12.11	 12.31	 12.51	 13.11	 13.31	 13.51	 14.11	 14.31	 14.51	 15.11	 15.31	 15.51	 16.11	 16.31	 16.56	 17.26	 17.56	 18.26	 18.56	 19.26	 20.01	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
17	1030	Kliniken Michelsberg	 05.06	 05.36	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.52	 09.12	 09.32	 09.52	 10.12	 10.32	 10.52	 11.12	 11.32	 11.52	 12.12	 12.32	 12.52	 13.12	 13.32	 13.52	 14.12	 14.32	 14.52	 15.12	 15.32	 15.52	 16.12	 16.32	 16.57	 17.27	 17.57	 18.27	 18.57	 19.27	 20.02	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.37
18	1044	Neuer Friedhof	 05.08	 05.38	 05.59	 06.29	 06.59	 07.29	 07.59	 08.29	 08.54	 09.14	 09.34	 09.54	 10.14	 10.34	 10.54	 11.14	 11.34	 11.54	 12.14	 12.34	 12.54	 13.14	 13.34	 13.54	 14.14	 14.34	 14.54	 15.14	 15.34	 15.54	 16.14	 16.34	 16.59	 17.29	 17.59	 18.29	 18.59	 19.29	 20.04	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38
19	1160	Hˆrvelsinger Weg	 05.10	 05.40	 06.01	 06.31	 07.01	 07.31	 08.01	 08.31	 08.56	 09.16	 09.36	 09.56	 10.16	 10.36	 10.56	 11.16	 11.36	 11.56	 12.16	 12.36	 12.56	 13.16	 13.36	 13.56	 14.16	 14.36	 14.56	 15.16	 15.36	 15.56	 16.16	 16.36	 17.01	 17.31	 18.01	 18.31	 19.01	 19.31	 20.06	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.40
20	1161	Franzenhauserweg	 05.11	 05.41	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	 08.57	 09.17	 09.37	 09.57	 10.17	 10.37	 10.57	 11.17	 11.37	 11.57	 12.17	 12.37	 12.57	 13.17	 13.37	 13.57	 14.17	 14.37	 14.57	 15.17	 15.37	 15.57	 16.17	 16.37	 17.02	 17.32	 18.02	 18.32	 19.02	 19.32	 20.07	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	 24.41
21	1162	Albstraﬂe	 05.12	 05.42	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	 08.58	 09.18	 09.38	 09.58	 10.18	 10.38	 10.58	 11.18	 11.38	 11.58	 12.18	 12.38	 12.58	 13.18	 13.38	 13.58	 14.18	 14.38	 14.58	 15.18	 15.38	 15.58	 16.18	 16.38	 17.03	 17.33	 18.03	 18.33	 19.03	 19.33	 20.08	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
