		Fahrtenschl¸ssel	05:27	05:42	05:57	06:13	06:43	07:13	07:43	08:13	08:43	09:13	09:43	10:13	10:43	11:13	11:31	12:01	12:31	13:01	13:31	14:01	14:31	15:01	15:31	16:01	16:31	17:01	17:31	18:01	18:31	19:01	19:36	20:13	20:43	21:13	21:43	22:13	22:43	23:13	23:43	24:13
		Verkehrsbeschr‰nkung																																								
		Hinweis																																								Fb
		Transportgef‰ﬂtyp	10	10	10	10	10	10	10	31	10	10	10	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	10	31	10	31	10	10	31	10
1	1050	Willy-Brandt-Platz	    -	    -	    -	 06.13	 06.43	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.31	 12.01	 12.31	 13.01	 13.31	 14.01	 14.31	 15.01	 15.31	 16.01	 16.31	 17.01	 17.31	 18.01	 18.31	 19.01	 19.36	 20.13	 20.43	 21.13	 21.43	 22.13	 22.43	 23.13	 23.43	 24.13
2	1049	Congress Centrum	    -	    -	    -	 06.14	 06.44	 07.14	 07.44	 08.14	 08.44	 09.14	 09.44	 10.14	 10.44	 11.14	 11.32	 12.02	 12.32	 13.02	 13.32	 14.02	 14.32	 15.02	 15.32	 16.02	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.37	 20.14	 20.44	 21.14	 21.44	 22.14	 22.44	 23.14	 23.44	 24.14
3	1714	Kasernstraﬂe	    -	    -	    -	 06.16	 06.46	 07.16	 07.46	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.34	 12.04	 12.34	 13.04	 13.34	 14.04	 14.34	 15.04	 15.34	 16.04	 16.34	 17.04	 17.34	 18.04	 18.34	 19.04	 19.39	 20.16	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.16
4	1729	Meininger Allee	    -	    -	    -	 06.17	 06.47	 07.17	 07.47	 08.17	 08.47	 09.17	 09.47	 10.17	 10.47	 11.17	 11.35	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.05	 15.35	 16.05	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05	 19.40	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17
5	1700	ZUP	    -	    -	    -	 06.18	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.37	 12.07	 12.37	 13.07	 13.37	 14.07	 14.37	 15.07	 15.37	 16.07	 16.37	 17.07	 17.37	 18.07	 18.37	 19.07	 19.42	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18
6	1710	Rathaus Neu-Ulm	    -	    -	    -	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.38	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08	 19.43	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19
7	1707	Donaucenter	    -	    -	    -	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.21	 11.40	 12.10	 12.40	 13.10	 13.40	 14.10	 14.40	 15.10	 15.40	 16.10	 16.40	 17.10	 17.40	 18.10	 18.40	 19.10	 19.45	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21
8	1739	Donauklinik	    -	    -	    -	 06.22	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	 11.22	 11.41	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11	 16.41	 17.11	 17.41	 18.11	 18.41	 19.11	 19.46	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22
9	1705	Amtsgericht	    -	    -	    -	 06.23	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.23	 11.42	 12.12	 12.42	 13.12	 13.42	 14.12	 14.42	 15.12	 15.42	 16.12	 16.42	 17.12	 17.42	 18.12	 18.42	 19.12	 19.47	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23
