		Fahrtenschl¸ssel	04:53	05:23	05:53	06:23	06:53	07:23	07:53	08:15	08:35	08:55	09:15	09:35	09:55	10:15	10:35	10:55	11:15	11:35	11:55	12:15	12:35	12:55	13:15	13:35	13:55	14:15	14:35	14:55	15:15	15:35	15:53	16:23	16:53	17:23	17:53	18:23	18:53	19:23	20:04	20:34	21:04	21:34	22:04	22:34	23:04	23:34	24:04	24:24	24:54
		Verkehrsbeschr‰nkung																																																	
		Hinweis																																																	
		Transportgef‰ﬂtyp	10	31	10	31	10	31	10	31	10	10	31	10	31	10	10	31	10	31	10	10	31	10	31	10	10	31	10	31	10	10	31	10	10	10	31	10	10	10	31	10	10	10	10	31	10	10	10	10	31
1	1163	Rathaus Jungingen	 04.53	 05.23	 05.53	 06.23	 06.53	 07.23	 07.53	 08.15	 08.35	 08.55	 09.15	 09.35	 09.55	 10.15	 10.35	 10.55	 11.15	 11.35	 11.55	 12.15	 12.35	 12.55	 13.15	 13.35	 13.55	 14.15	 14.35	 14.55	 15.15	 15.35	 15.53	 16.23	 16.53	 17.23	 17.53	 18.23	 18.53	 19.23	 20.04	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	 24.24	 24.54
2	1167	Donau-Iller-Werkst.	 04.55	 05.25	 05.55	 06.25	 06.55	 07.25	 07.55	 08.17	 08.37	 08.57	 09.17	 09.37	 09.57	 10.17	 10.37	 10.57	 11.17	 11.37	 11.57	 12.17	 12.37	 12.57	 13.17	 13.37	 13.57	 14.17	 14.37	 14.57	 15.17	 15.37	 15.55	 16.25	 16.55	 17.25	 17.55	 18.25	 18.55	 19.25	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.26	 24.56
3	1164	Schwarzenbergstraﬂe	 04.56	 05.26	 05.56	 06.26	 06.56	 07.26	 07.56	 08.18	 08.38	 08.58	 09.18	 09.38	 09.58	 10.18	 10.38	 10.58	 11.18	 11.38	 11.58	 12.18	 12.38	 12.58	 13.18	 13.38	 13.58	 14.18	 14.38	 14.58	 15.18	 15.38	 15.56	 16.26	 16.56	 17.26	 17.56	 18.26	 18.56	 19.26	 20.07	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.27	 24.57
4	1165	Fichtenstraﬂe	 04.57	 05.27	 05.57	 06.27	 06.57	 07.27	 07.57	 08.19	 08.39	 08.59	 09.19	 09.39	 09.59	 10.19	 10.39	 10.59	 11.19	 11.39	 11.59	 12.19	 12.39	 12.59	 13.19	 13.39	 13.59	 14.19	 14.39	 14.59	 15.19	 15.39	 15.57	 16.27	 16.57	 17.27	 17.57	 18.27	 18.57	 19.27	 20.07	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.27	 24.57
5	1166	Gehrnstraﬂe	 04.58	 05.28	 05.58	 06.28	 06.58	 07.28	 07.58	 08.20	 08.40	 09.00	 09.20	 09.40	 10.00	 10.20	 10.40	 11.00	 11.20	 11.40	 12.00	 12.20	 12.40	 13.00	 13.20	 13.40	 14.00	 14.20	 14.40	 15.00	 15.20	 15.40	 15.58	 16.28	 16.58	 17.28	 17.58	 18.28	 18.58	 19.28	 20.08	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.28	 24.58
6	1171	Margarete-Steiff-Straﬂe	 04.59	 05.29	 05.59	 06.29	 06.59	 07.29	 07.59	 08.21	 08.41	 09.01	 09.21	 09.41	 10.01	 10.21	 10.41	 11.01	 11.21	 11.41	 12.01	 12.21	 12.41	 13.01	 13.21	 13.41	 14.01	 14.21	 14.41	 15.01	 15.21	 15.41	 15.59	 16.29	 16.59	 17.29	 17.59	 18.29	 18.59	 19.29	 20.09	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.29	 24.59
7	1170	Edith-Stein-Ring	 05.00	 05.30	 06.00	 06.30	 07.00	 07.30	 08.00	 08.22	 08.42	 09.02	 09.22	 09.42	 10.02	 10.22	 10.42	 11.02	 11.22	 11.42	 12.02	 12.22	 12.42	 13.02	 13.22	 13.42	 14.02	 14.22	 14.42	 15.02	 15.22	 15.42	 16.00	 16.30	 17.00	 17.30	 18.00	 18.30	 19.00	 19.30	 20.10	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.30	 25.00
8	1173	Auf dem Hart	 05.01	 05.31	 06.01	 06.31	 07.01	 07.31	 08.01	 08.23	 08.43	 09.03	 09.23	 09.43	 10.03	 10.23	 10.43	 11.03	 11.23	 11.43	 12.03	 12.23	 12.43	 13.03	 13.23	 13.43	 14.03	 14.23	 14.43	 15.03	 15.23	 15.43	 16.01	 16.31	 17.01	 17.31	 18.01	 18.31	 19.01	 19.31	 20.11	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	 24.31	 25.01
9	1162	Albstraﬂe	 05.02	 05.32	 06.02	 06.32	 07.02	 07.32	 08.02	 08.24	 08.44	 09.04	 09.24	 09.44	 10.04	 10.24	 10.44	 11.04	 11.24	 11.44	 12.04	 12.24	 12.44	 13.04	 13.24	 13.44	 14.04	 14.24	 14.44	 15.04	 15.24	 15.44	 16.02	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.32	 20.12	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.32	 25.02
10	1161	Franzenhauserweg	 05.03	 05.33	 06.03	 06.33	 07.03	 07.33	 08.03	 08.25	 08.45	 09.05	 09.25	 09.45	 10.05	 10.25	 10.45	 11.05	 11.25	 11.45	 12.05	 12.25	 12.45	 13.05	 13.25	 13.45	 14.05	 14.25	 14.45	 15.05	 15.25	 15.45	 16.03	 16.33	 17.03	 17.33	 18.03	 18.33	 19.03	 19.33	 20.13	 20.43	 21.13	 21.43	 22.13	 22.43	 23.13	 23.43	 24.13	 24.33	 25.03
11	1160	Hˆrvelsinger Weg	 05.04	 05.34	 06.04	 06.34	 07.04	 07.34	 08.04	 08.26	 08.46	 09.06	 09.26	 09.46	 10.06	 10.26	 10.46	 11.06	 11.26	 11.46	 12.06	 12.26	 12.46	 13.06	 13.26	 13.46	 14.06	 14.26	 14.46	 15.06	 15.26	 15.46	 16.04	 16.34	 17.04	 17.34	 18.04	 18.34	 19.04	 19.34	 20.14	 20.44	 21.14	 21.44	 22.14	 22.44	 23.14	 23.44	 24.14	 24.34	 25.04
12	1046	Wilhelmsburgkaserne	 05.06	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.28	 08.48	 09.08	 09.28	 09.48	 10.08	 10.28	 10.48	 11.08	 11.28	 11.48	 12.08	 12.28	 12.48	 13.08	 13.28	 13.48	 14.08	 14.28	 14.48	 15.08	 15.28	 15.48	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06	 19.36	 20.16	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.16	 24.36	 25.06
13	1044	Neuer Friedhof	 05.06	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.28	 08.48	 09.08	 09.28	 09.48	 10.08	 10.28	 10.48	 11.08	 11.28	 11.48	 12.08	 12.28	 12.48	 13.08	 13.28	 13.48	 14.08	 14.28	 14.48	 15.08	 15.28	 15.48	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06	 19.36	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17	 24.37	 25.07
14	1030	Kliniken Michelsberg	 05.08	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.30	 08.50	 09.10	 09.30	 09.50	 10.10	 10.30	 10.50	 11.10	 11.30	 11.50	 12.10	 12.30	 12.50	 13.10	 13.30	 13.50	 14.10	 14.30	 14.50	 15.10	 15.30	 15.50	 16.08	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08	 19.38	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18	 24.38	 25.08
15	1031	Frauensteige	 05.09	 05.39	 06.09	 06.39	 07.09	 07.39	 08.09	 08.31	 08.51	 09.11	 09.31	 09.51	 10.11	 10.31	 10.51	 11.11	 11.31	 11.51	 12.11	 12.31	 12.51	 13.11	 13.31	 13.51	 14.11	 14.31	 14.51	 15.11	 15.31	 15.51	 16.09	 16.39	 17.09	 17.39	 18.09	 18.39	 19.09	 19.39	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	 24.39	 25.09
16	1032	Schillerhˆhe	 05.10	 05.40	 06.10	 06.40	 07.10	 07.40	 08.10	 08.32	 08.52	 09.12	 09.32	 09.52	 10.12	 10.32	 10.52	 11.12	 11.32	 11.52	 12.12	 12.32	 12.52	 13.12	 13.32	 13.52	 14.12	 14.32	 14.52	 15.12	 15.32	 15.52	 16.10	 16.40	 17.10	 17.40	 18.10	 18.40	 19.10	 19.40	 20.20	 20.50	 21.20	 21.50	 22.20	 22.50	 23.20	 23.50	 24.20	 24.40	 25.10
17	1025	Frauenstraﬂe / DRK	 05.11	 05.41	 06.11	 06.41	 07.11	 07.41	 08.11	 08.33	 08.53	 09.13	 09.33	 09.53	 10.13	 10.33	 10.53	 11.13	 11.33	 11.53	 12.13	 12.33	 12.53	 13.13	 13.33	 13.53	 14.13	 14.33	 14.53	 15.13	 15.33	 15.53	 16.11	 16.41	 17.11	 17.41	 18.11	 18.41	 19.11	 19.41	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21	 24.41	 25.11
18	1004	Pauluskirche	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $
19	1011	Justizgeb‰ude	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $
20	1020	Karlstraﬂe	 05.13	 05.43	 06.13	 06.43	 07.13	 07.43	 08.13	 08.35	 08.55	 09.15	 09.35	 09.55	 10.15	 10.35	 10.55	 11.15	 11.35	 11.55	 12.15	 12.35	 12.55	 13.15	 13.35	 13.55	 14.15	 14.35	 14.55	 15.15	 15.35	 15.55	 16.13	 16.43	 17.13	 17.43	 18.13	 18.43	 19.13	 19.43	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23	 24.43	 25.13
21	1010	Theater	 05.16	 05.46	 06.16	 06.46	 07.16	 07.46	 08.16	 08.38	 08.58	 09.18	 09.38	 09.58	 10.18	 10.38	 10.58	 11.18	 11.38	 11.58	 12.18	 12.38	 12.58	 13.18	 13.38	 13.58	 14.18	 14.38	 14.58	 15.18	 15.38	 15.58	 16.16	 16.46	 17.16	 17.46	 18.16	 18.46	 19.16	 19.46	 20.25	 20.55	 21.25	 21.55	 22.25	 22.55	 23.25	 23.55	 24.25	 24.45	 25.15
