		Fahrtenschl¸ssel	05:38	05:48	06:18	06:48	07:04	07:34	08:04	08:34	09:04	09:34	10:04	10:34	11:04	11:23	11:53	12:23	12:53	13:23	13:53	14:23	14:53	15:23	15:53	16:23	16:53	17:23	17:53	18:23	18:53	19:23	20:04	20:34	21:04	21:34	22:04	22:34	23:04	23:34	23:54	24:04	24:24	24:54
		Verkehrsbeschr‰nkung																																										
		Hinweis																																							Nb	Fb		Fb
		Transportgef‰ﬂtyp	10	10	10	31	10	10	10	10	31	10	10	10	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	10	31	10	31	10	10	10	31	10
1	1163	Rathaus Jungingen	    -	    -	    -	    -	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.23	 11.53	 12.23	 12.53	 13.23	 13.53	 14.23	 14.53	 15.23	 15.53	 16.23	 16.53	 17.23	 17.53	 18.23	 18.53	 19.23	 20.04	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 23.54	 24.04	 24.24	 24.54
2	1167	Donau-Iller-Werkst.	    -	    -	    -	    -	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.25	 11.55	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.25	 15.55	 16.25	 16.55	 17.25	 17.55	 18.25	 18.55	 19.25	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 23.56	 24.06	 24.26	 24.56
3	1164	Schwarzenbergstraﬂe	    -	    -	    -	    -	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.26	 11.56	 12.26	 12.56	 13.26	 13.56	 14.26	 14.56	 15.26	 15.56	 16.26	 16.56	 17.26	 17.56	 18.26	 18.56	 19.26	 20.07	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 23.57	 24.07	 24.27	 24.57
4	1165	Fichtenstraﬂe	    -	    -	    -	    -	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.27	 11.57	 12.27	 12.57	 13.27	 13.57	 14.27	 14.57	 15.27	 15.57	 16.27	 16.57	 17.27	 17.57	 18.27	 18.57	 19.27	 20.07	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 23.57	 24.07	 24.27	 24.57
5	1166	Gehrnstraﬂe	    -	    -	    -	    -	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.28	 11.58	 12.28	 12.58	 13.28	 13.58	 14.28	 14.58	 15.28	 15.58	 16.28	 16.58	 17.28	 17.58	 18.28	 18.58	 19.28	 20.08	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 23.58	 24.08	 24.28	 24.58
6	1171	Margarete-Steiff-Straﬂe	    -	    -	    -	    -	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.29	 11.59	 12.29	 12.59	 13.29	 13.59	 14.29	 14.59	 15.29	 15.59	 16.29	 16.59	 17.29	 17.59	 18.29	 18.59	 19.29	 20.09	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 23.59	 24.09	 24.29	 24.59
7	1170	Edith-Stein-Ring	    -	    -	    -	    -	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.30	 12.00	 12.30	 13.00	 13.30	 14.00	 14.30	 15.00	 15.30	 16.00	 16.30	 17.00	 17.30	 18.00	 18.30	 19.00	 19.30	 20.10	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.00	 24.10	 24.30	 25.00
8	1173	Auf dem Hart	    -	    -	    -	    -	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.31	 12.01	 12.31	 13.01	 13.31	 14.01	 14.31	 15.01	 15.31	 16.01	 16.31	 17.01	 17.31	 18.01	 18.31	 19.01	 19.31	 20.11	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.01	 24.11	 24.31	 25.01
9	1162	Albstraﬂe	    -	    -	    -	    -	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.32	 12.02	 12.32	 13.02	 13.32	 14.02	 14.32	 15.02	 15.32	 16.02	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.32	 20.12	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.02	 24.12	 24.32	 25.02
10	1161	Franzenhauserweg	    -	    -	    -	    -	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.33	 12.03	 12.33	 13.03	 13.33	 14.03	 14.33	 15.03	 15.33	 16.03	 16.33	 17.03	 17.33	 18.03	 18.33	 19.03	 19.33	 20.13	 20.43	 21.13	 21.43	 22.13	 22.43	 23.13	 23.43	 24.03	 24.13	 24.33	 25.03
