		Fahrtenschl¸ssel	04:40	05:07	05:37	06:07	06:54	07:00	07:02	07:04	07:40	07:42	08:10	08:12	08:40	08:42	09:10	09:12	09:40	09:42	10:10	10:12	10:14	10:50	10:52	11:20	11:40	11:42	11:50	11:52	12:20	12:30	12:40	12:42	12:50	12:52	13:20	13:22	13:50	13:52	14:20	14:22	14:50	14:52	15:20	15:22	15:50	15:52	16:20	16:22	16:50	16:52	17:20	17:22	17:50	17:52	18:20	18:22	18:50	18:52	19:20	19:22	19:50	20:20
		Verkehrsbeschr‰nkung					ss																			sf	ss				sf	ss	ss		sf																													
		Hinweis					Ar	Ar			Ar		Ar		Ar		Ar		Ar		Ar			Ar		Ar	Ar		Ar		Ar	Ar	Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar	Ar
		Transportgef‰ﬂtyp	10	10	10	10	31	31	10	10	31	10	31	10	31	10	31	10	31	10	31	10	10	31	10	31	31	10	31	10	31	31	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	31
		Umlaufnummer	801	801	802	803	0	0	804	805	0	801	0	802	0	803	0	804	0	801	0	802	803	0	804	0	0	801	0	802	0	0	0	803	0	804	0	801	0	802	0	803	0	804	0	801	0	802	0	803	0	804	0	801	0	802	0	803	0	804	0	801	0	0
1	1600	Pranger	 04.40	 05.07	 05.37	 06.07	    -	    -	 06.30	 06.35	    -	 07.00	    -	 07.30	    -	 08.03	    -	 08.33	    -	 09.07	    -	 09.37	 10.07	    -	 10.37	    -	    -	 11.07	    -	 11.37	    -	    -	    -	 12.07	    -	 12.37	    -	 13.07	    -	 13.37	    -	 14.03	    -	 14.33	    -	 15.03	    -	 15.33	    -	 16.03	    -	 16.33	    -	 17.07	    -	 17.37	    -	 18.07	    -	 18.37	    -	 19.07	    -	    -
2	1601	Oberer Wirt	 04.41	 05.08	 05.38	 06.08	    -	    -	 06.31	 06.36	    -	 07.01	    -	 07.31	    -	 08.04	    -	 08.34	    -	 09.08	    -	 09.38	 10.08	    -	 10.38	    -	    -	 11.08	    -	 11.38	    -	    -	    -	 12.08	    -	 12.38	    -	 13.08	    -	 13.38	    -	 14.04	    -	 14.34	    -	 15.04	    -	 15.34	    -	 16.04	    -	 16.34	    -	 17.08	    -	 17.38	    -	 18.08	    -	 18.38	    -	 19.08	    -	    -
3	1602	Alte Siedlung	 04.42	 05.09	 05.39	 06.09	    -	    -	 06.32	 06.37	    -	 07.02	    -	 07.32	    -	 08.05	    -	 08.35	    -	 09.09	    -	 09.39	 10.09	    -	 10.39	    -	    -	 11.09	    -	 11.39	    -	    -	    -	 12.09	    -	 12.39	    -	 13.09	    -	 13.39	    -	 14.05	    -	 14.35	    -	 15.05	    -	 15.35	    -	 16.05	    -	 16.35	    -	 17.09	    -	 17.39	    -	 18.09	    -	 18.39	    -	 19.09	    -	    -
4	1631	St.-Gallener-Straﬂe	 04.43	 05.10	 05.40	 06.10	    -	    -	 06.33	 06.38	    -	 07.03	    -	 07.33	    -	 08.06	    -	 08.36	    -	 09.10	    -	 09.40	 10.10	    -	 10.40	    -	    -	 11.10	    -	 11.40	    -	    -	    -	 12.10	    -	 12.40	    -	 13.10	    -	 13.40	    -	 14.06	    -	 14.36	    -	 15.06	    -	 15.36	    -	 16.06	    -	 16.36	    -	 17.10	    -	 17.40	    -	 18.10	    -	 18.40	    -	 19.10	    -	    -
5	1632	Kemptener Straﬂe	 04.44	 05.11	 05.41	 06.11	    -	    -	 06.34	 06.39	    -	 07.04	    -	 07.34	    -	 08.07	    -	 08.37	    -	 09.11	    -	 09.41	 10.11	    -	 10.41	    -	    -	 11.11	    -	 11.41	    -	    -	    -	 12.11	    -	 12.41	    -	 13.11	    -	 13.41	    -	 14.07	    -	 14.37	    -	 15.07	    -	 15.37	    -	 16.07	    -	 16.37	    -	 17.11	    -	 17.41	    -	 18.11	    -	 18.41	    -	 19.11	    -	    -
6	1633	Saulgauer Straﬂe	 04.45	 05.12	 05.42	 06.12	    -	    -	 06.35	 06.40	    -	 07.05	    -	 07.35	    -	 08.08	    -	 08.38	    -	 09.12	    -	 09.42	 10.12	    -	 10.42	    -	    -	 11.12	    -	 11.42	    -	    -	    -	 12.12	    -	 12.42	    -	 13.12	    -	 13.42	    -	 14.08	    -	 14.38	    -	 15.08	    -	 15.38	    -	 16.08	    -	 16.38	    -	 17.12	    -	 17.42	    -	 18.12	    -	 18.42	    -	 19.12	    -	    -
7	1634	Tannenplatz Zentrum	 04.46	 05.13	 05.43	 06.13	    -	    -	 06.36	 06.41	    -	 07.06	    -	 07.36	    -	 08.09	    -	 08.39	    -	 09.13	    -	 09.43	 10.13	    -	 10.43	    -	    -	 11.13	    -	 11.43	    -	    -	    -	 12.13	    -	 12.43	    -	 13.13	    -	 13.43	    -	 14.09	    -	 14.39	    -	 15.09	    -	 15.39	    -	 16.09	    -	 16.39	    -	 17.13	    -	 17.43	    -	 18.13	    -	 18.43	    -	 19.13	    -	    -
8	1635	Reutlinger Straﬂe	 04.47	 05.14	 05.44	 06.14	    -	    -	 06.38	 06.43	    -	 07.08	    -	 07.38	    -	 08.11	    -	 08.41	    -	 09.14	    -	 09.44	 10.14	    -	 10.44	    -	    -	 11.14	    -	 11.44	    -	    -	    -	 12.14	    -	 12.44	    -	 13.14	    -	 13.44	    -	 14.11	    -	 14.41	    -	 15.11	    -	 15.41	    -	 16.11	    -	 16.41	    -	 17.14	    -	 17.44	    -	 18.14	    -	 18.44	    -	 19.14	    -	    -
9	1590	Kastbr¸cke	 04.49	 05.16	 05.46	 06.16	    -	    -	 06.42	 06.47	    -	 07.12	    -	 07.42	    -	 08.13	    -	 08.43	    -	 09.16	    -	 09.46	 10.16	    -	 10.46	    -	    -	 11.16	    -	 11.46	    -	    -	    -	 12.16	    -	 12.46	    -	 13.16	    -	 13.46	    -	 14.13	    -	 14.43	    -	 15.13	    -	 15.43	    -	 16.13	    -	 16.43	    -	 17.16	    -	 17.46	    -	 18.16	    -	 18.46	    -	 19.16	    -	    -
10	1594	Firma Seeberger	 04.51	 05.18	 05.48	 06.18	    -	    -	 06.44	 06.49	    -	 07.14	    -	 07.44	    -	 08.15	    -	 08.45	    -	 09.18	    -	 09.48	 10.18	    -	 10.48	    -	    -	 11.18	    -	 11.48	    -	    -	    -	 12.18	    -	 12.48	    -	 13.18	    -	 13.48	    -	 14.15	    -	 14.45	    -	 15.15	    -	 15.45	    -	 16.15	    -	 16.45	    -	 17.18	    -	 17.48	    -	 18.18	    -	 18.48	    -	 19.18	    -	    -
11	1555	Firma Wieland	 04.52	 05.19	 05.49	 06.19	    -	    -	 06.45	 06.50	    -	 07.15	    -	 07.45	    -	 08.16	    -	 08.46	    -	 09.19	    -	 09.49	 10.19	    -	 10.49	    -	    -	 11.19	    -	 11.49	    -	    -	    -	 12.19	    -	 12.49	    -	 13.19	    -	 13.49	    -	 14.16	    -	 14.46	    -	 15.16	    -	 15.46	    -	 16.16	    -	 16.46	    -	 17.19	    -	 17.49	    -	 18.19	    -	 18.49	    -	 19.19	    -	    -
12	1561	Graf-Arco-Straﬂe	 04.53	 05.20	 05.50	 06.20	    -	    -	 06.46	 06.51	    -	 07.16	    -	 07.46	    -	 08.17	    -	 08.47	    -	 09.20	    -	 09.50	 10.20	    -	 10.50	    -	    -	 11.20	    -	 11.50	    -	    -	    -	 12.20	    -	 12.50	    -	 13.20	    -	 13.50	    -	 14.17	    -	 14.47	    -	 15.17	    -	 15.47	    -	 16.17	    -	 16.47	    -	 17.20	    -	 17.50	    -	 18.20	    -	 18.50	    -	 19.20	    -	    -
