		Fahrtenschl¸ssel	05:49	06:14	06:44	07:14	07:44	08:14	08:29	08:44	08:48	09:14	09:29	09:44	09:48	10:14	10:29	10:44	10:48	11:14	11:29	11:44	11:58	12:14	12:39	12:44	12:58	13:14	13:39	13:44	13:58	14:14	14:39	14:44	14:58	15:14	15:39	15:44	15:58	16:14	16:39	16:44	16:58	17:14	17:39	17:44	17:58	18:14	18:39	18:44	18:58	18:59	19:14	19:39	19:44	20:09	20:29	20:39	20:58	21:39
		Verkehrsbeschr‰nkung																																																										
		Hinweis							Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar			Ar				Ar	Ar	Ar
		Transportgef‰ﬂtyp	10	10	10	10	10	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	10	31	10	10	10	31	31	31
		Umlaufnummer	804	801	802	803	804	801	0	802	0	803	0	804	0	801	0	802	0	803	0	804	0	801	0	802	0	803	0	804	0	801	0	802	0	803	0	804	0	801	0	801	0	801	0	801	0	801	0	801	0	1011	801	0	801	801	801	0	0	0
1	1354	Blautal-Center	    -	 06.14	 06.44	 07.14	 07.44	 08.14	 08.29	 08.44	 08.48	 09.14	 09.29	 09.44	 09.48	 10.14	 10.29	 10.44	 10.48	 11.14	 11.29	 11.44	 11.58	 12.14	 12.39	 12.44	 12.58	 13.14	 13.39	 13.44	 13.58	 14.14	 14.39	 14.44	 14.58	 15.14	 15.39	 15.44	 15.58	 16.14	 16.39	 16.44	 16.58	 17.14	 17.39	 17.44	 17.58	 18.14	 18.39	 18.44	 18.58	 18.59	 19.14	 19.39	 19.44	 20.09	 20.29	 20.39	 20.58	 21.39
2	1367	Auf der Gˆlde	    -	 06.15	 06.45	 07.15	 07.45	 08.15	 08.30	 08.45	 08.49	 09.15	 09.30	 09.45	 09.49	 10.15	 10.30	 10.45	 10.49	 11.15	 11.30	 11.45	 11.59	 12.15	 12.40	 12.45	 12.59	 13.15	 13.40	 13.45	 13.59	 14.15	 14.40	 14.45	 14.59	 15.15	 15.40	 15.45	 15.59	 16.15	 16.40	 16.45	 16.59	 17.15	 17.40	 17.45	 17.59	 18.15	 18.40	 18.45	 18.59	 19.00	 19.15	 19.40	 19.45	 20.10	 20.30	 20.40	 20.59	 21.40
3	1366	Beim B'scheid	    -	 06.17	 06.47	 07.17	 07.47	 08.17	 08.32	 08.47	 08.51	 09.17	 09.32	 09.47	 09.51	 10.17	 10.32	 10.47	 10.51	 11.17	 11.32	 11.47	 12.01	 12.17	 12.42	 12.47	 13.01	 13.17	 13.42	 13.47	 14.01	 14.17	 14.42	 14.47	 15.01	 15.17	 15.42	 15.47	 16.01	 16.17	 16.42	 16.47	 17.01	 17.17	 17.42	 17.47	 18.01	 18.17	 18.42	 18.47	 19.01	 19.02	 19.17	 19.42	 19.47	 20.12	 20.32	 20.42	 21.01	 21.42
4	1097	Neutorstraﬂe	 05.49	 06.19	 06.49	 07.19	 07.49	 08.19	 08.34	 08.49	 08.53	 09.19	 09.34	 09.49	 09.53	 10.19	 10.34	 10.49	 10.53	 11.19	 11.34	 11.49	 12.03	 12.19	 12.44	 12.49	 13.03	 13.19	 13.44	 13.49	 14.03	 14.19	 14.44	 14.49	 15.03	 15.19	 15.44	 15.49	 16.03	 16.19	 16.44	 16.49	 17.03	 17.19	 17.44	 17.49	 18.03	 18.19	 18.44	 18.49	 19.03	 19.04	 19.19	 19.44	 19.49	 20.14	 20.34	 20.44	 21.03	 21.44
5	1010	Theater	 05.50	 06.20	 06.50	 07.20	 07.50	 08.20	 08.35	 08.50	 08.54	 09.20	 09.35	 09.50	 09.54	 10.20	 10.35	 10.50	 10.54	 11.20	 11.35	 11.50	 12.04	 12.20	 12.45	 12.50	 13.04	 13.20	 13.45	 13.50	 14.04	 14.20	 14.45	 14.50	 15.04	 15.20	 15.45	 15.50	 16.04	 16.20	 16.45	 16.50	 17.04	 17.20	 17.45	 17.50	 18.04	 18.20	 18.45	 18.50	 19.04	 19.05	 19.20	 19.45	 19.50	 20.15	 20.35	 20.45	 21.04	 21.45
6	1000	ZOB	    $	    $	    $	    $	    $	    $	 08.37	    $	 08.56	    $	 09.37	    $	 09.56	    $	 10.37	    $	 10.56	    $	 11.37	    $	 12.06	    $	 12.47	    $	 13.06	    $	 13.47	    $	 14.06	    $	 14.47	    $	 15.06	    $	 15.47	    $	 16.06	    $	 16.47	    $	 17.06	    $	 17.47	    $	 18.06	    $	 18.47	    $	 19.06	    $	    $	 19.47	    $	    $	    $	 20.47	 21.06	 21.47
7	1008	Hauptbahnhof	 05.52	 06.22	 06.52	 07.22	 07.52	 08.22	    -	 08.52	    -	 09.22	    -	 09.52	    -	 10.22	    -	 10.52	    -	 11.22	    -	 11.52	    -	 12.22	    -	 12.52	    -	 13.22	    -	 13.52	    -	 14.22	    -	 14.52	    -	 15.22	    -	 15.52	    -	 16.22	    -	 16.52	    -	 17.22	    -	 17.52	    -	 18.22	    -	 18.52	    -	 19.07	 19.22	    -	 19.52	 20.17	 20.37	    -	    -	    -
8	1350	Ehinger Tor	 05.55	 06.25	 06.55	 07.25	 07.55	 08.25	    -	 08.55	    -	 09.25	    -	 09.55	    -	 10.25	    -	 10.55	    -	 11.25	    -	 11.55	    -	 12.25	    -	 12.55	    -	 13.25	    -	 13.55	    -	 14.25	    -	 14.55	    -	 15.25	    -	 15.55	    -	 16.25	    -	 16.55	    -	 17.25	    -	 17.55	    -	 18.25	    -	 18.55	    -	 19.10	 19.25	    -	 19.55	 20.20	 20.40	    -	    -	    -
9	1359	Haﬂlerstraﬂe	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	    -	 08.57	    -	 09.27	    -	 09.57	    -	 10.27	    -	 10.57	    -	 11.27	    -	 11.57	    -	 12.27	    -	 12.57	    -	 13.27	    -	 13.57	    -	 14.27	    -	 14.57	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
10	1360	Rˆmerplatz	 05.59	 06.29	 06.59	 07.29	 07.59	 08.29	    -	 08.59	    -	 09.29	    -	 09.59	    -	 10.29	    -	 10.59	    -	 11.29	    -	 11.59	    -	 12.29	    -	 12.59	    -	 13.29	    -	 13.59	    -	 14.29	    -	 14.59	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
11	1380	Saarlandstraﬂe	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	    -	 09.00	    -	 09.30	    -	 10.00	    -	 10.30	    -	 11.00	    -	 11.30	    -	 12.00	    -	 12.30	    -	 13.00	    -	 13.30	    -	 14.00	    -	 14.30	    -	 15.00	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
12	1381	Robert-Dick-Weg	 06.01	 06.31	 07.01	 07.31	 08.01	 08.31	    -	 09.01	    -	 09.31	    -	 10.01	    -	 10.31	    -	 11.01	    -	 11.31	    -	 12.01	    -	 12.31	    -	 13.01	    -	 13.31	    -	 14.01	    -	 14.31	    -	 15.01	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
13	1382	Egginger Weg	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	    -	 09.02	    -	 09.32	    -	 10.02	    -	 10.32	    -	 11.02	    -	 11.32	    -	 12.02	    -	 12.32	    -	 13.02	    -	 13.32	    -	 14.02	    -	 14.32	    -	 15.02	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
14	1383	Gewerbeschulen Kˆnigstraﬂe	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	    -	 09.03	    -	 09.33	    -	 10.03	    -	 10.33	    -	 11.03	    -	 11.33	    -	 12.03	    -	 12.33	    -	 13.03	    -	 13.33	    -	 14.03	    -	 14.33	    -	 15.03	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
15	1390	Kuhberg Schulzentrum	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	    -	 09.04	    -	 09.34	    -	 10.04	    -	 10.34	    -	 11.04	    -	 11.34	    -	 12.04	    -	 12.34	    -	 13.04	    -	 13.34	    -	 14.04	    -	 14.34	    -	 15.04	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
16	1393	Grimmelfinger Weg	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	    -	 09.05	    -	 09.35	    -	 10.05	    -	 10.35	    -	 11.05	    -	 11.35	    -	 12.05	    -	 12.35	    -	 13.05	    -	 13.35	    -	 14.05	    -	 14.35	    -	 15.05	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
