				Fahrtenschlüssel	06:25	06:35	06:45	06:55	07:05	07:15	07:25	07:35	07:45	07:55	08:05	08:15
				Verkehrsbeschränkung												
				Hinweis												
				Transportgefäßtyp	10	10	10	10	10	10	10	10	10	10	10	10
1	1635	Reutlinger Straße		2	 06.25	 06.35	 06.45	 06.55	 07.05	 07.15	 07.25	 07.35	 07.45	 07.55	 08.05	 08.15
2	1634	Tannenplatz Zentrum		2	 06.26	 06.36	 06.46	 06.56	 07.06	 07.16	 07.26	 07.36	 07.46	 07.56	 08.06	 08.16
3	1633	Saulgauer Straße		2	 06.27	 06.37	 06.47	 06.57	 07.07	 07.17	 07.27	 07.37	 07.47	 07.57	 08.07	 08.17
4	1632	Kemptener Straße		3	 06.28	 06.38	 06.48	 06.58	 07.08	 07.18	 07.28	 07.38	 07.48	 07.58	 08.08	 08.18
5	1631	St.-Gallener-Straße		2	 06.29	 06.39	 06.49	 06.59	 07.09	 07.19	 07.29	 07.39	 07.49	 07.59	 08.09	 08.19
6	1602	Alte Siedlung		2	 06.30	 06.40	 06.50	 07.00	 07.10	 07.20	 07.30	 07.40	 07.50	 08.00	 08.10	 08.20
7	1601	Oberer Wirt		2	 06.31	 06.41	 06.51	 07.01	 07.11	 07.21	 07.31	 07.41	 07.51	 08.01	 08.11	 08.21
8	1600	Pranger		1	 06.32	 06.42	 06.52	 07.02	 07.12	 07.22	 07.32	 07.42	 07.52	 08.02	 08.12	 08.22
9	1608	Ostermahdweg		1	 06.33	 06.43	 06.53	 07.03	 07.13	 07.23	 07.33	 07.43	 07.53	 08.03	 08.13	 08.23
10	1704	Illerbrücke		1	 06.34	 06.44	 06.54	 07.04	 07.14	 07.24	 07.34	 07.44	 07.54	 08.04	 08.14	 08.24
11	1703	Jakobsruhe		1	 06.36	 06.46	 06.56	 07.06	 07.16	 07.26	 07.36	 07.46	 07.56	 08.06	 08.16	 08.26
12	1702	Donaubad		1	 06.37	 06.47	 06.57	 07.07	 07.17	 07.27	 07.37	 07.47	 07.57	 08.07	 08.17	 08.27
13	1701	Adenauerbrücke		1	 06.39	 06.49	 06.59	 07.09	 07.19	 07.29	 07.39	 07.49	 07.59	 08.09	 08.19	 08.29
14	1350	Ehinger Tor		3	 06.42	 06.52	 07.02	 07.12	 07.22	 07.32	 07.42	 07.52	 08.02	 08.12	 08.22	 08.32
15	1001	Steinerne Brücke		1	 06.45	 06.55	 07.05	 07.15	 07.25	 07.35	 07.45	 07.55	 08.05	 08.15	 08.25	 08.35
16	1002	Rathaus Ulm		1	 06.46	 06.56	 07.06	 07.16	 07.26	 07.36	 07.46	 07.56	 08.06	 08.16	 08.26	 08.36
17	1009	Hafengasse		1	 06.48	 06.58	 07.08	 07.18	 07.28	 07.38	 07.48	 07.58	 08.08	 08.18	 08.28	 08.38
18	1003	Rosengasse		1	 06.49	 06.59	 07.09	 07.19	 07.29	 07.39	 07.49	 07.59	 08.09	 08.19	 08.29	 08.39
