				Fahrtenschlüssel	16:29	16:39	16:49	16:59	17:09	17:19	17:29	17:39	17:49	17:59
				Verkehrsbeschränkung										
				Hinweis										
				Transportgefäßtyp	10	10	10	10	10	10	10	10	10	10
1	1003	Rosengasse		2	 16.29	 16.39	 16.49	 16.59	 17.09	 17.19	 17.29	 17.39	 17.49	 17.59
2	1009	Hafengasse		2	 16.30	 16.40	 16.50	 17.00	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00
3	1002	Rathaus Ulm		2	 16.31	 16.41	 16.51	 17.01	 17.11	 17.21	 17.31	 17.41	 17.51	 18.01
4	1001	Steinerne Brücke		2	 16.32	 16.42	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02
5	1350	Ehinger Tor		4	 16.35	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05
6	1701	Adenauerbrücke		2	 16.38	 16.48	 16.58	 17.08	 17.18	 17.28	 17.38	 17.48	 17.58	 18.08
7	1702	Donaubad		2	 16.39	 16.49	 16.59	 17.09	 17.19	 17.29	 17.39	 17.49	 17.59	 18.09
8	1703	Jakobsruhe		2	 16.40	 16.50	 17.00	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00	 18.10
9	1704	Illerbrücke		2	 16.41	 16.51	 17.01	 17.11	 17.21	 17.31	 17.41	 17.51	 18.01	 18.11
10	1608	Ostermahdweg		2	 16.43	 16.53	 17.03	 17.13	 17.23	 17.33	 17.43	 17.53	 18.03	 18.13
11	1600	Pranger		2	 16.44	 16.54	 17.04	 17.14	 17.24	 17.34	 17.44	 17.54	 18.04	 18.14
12	1601	Oberer Wirt		1	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05	 18.15
13	1602	Alte Siedlung		1	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16
14	1631	St.-Gallener-Straße		1	 16.47	 16.57	 17.07	 17.17	 17.27	 17.37	 17.47	 17.57	 18.07	 18.17
15	1632	Kemptener Straße		1	 16.48	 16.58	 17.08	 17.18	 17.28	 17.38	 17.48	 17.58	 18.08	 18.18
16	1633	Saulgauer Straße		1	 16.49	 16.59	 17.09	 17.19	 17.29	 17.39	 17.49	 17.59	 18.09	 18.19
17	1634	Tannenplatz Zentrum		1	 16.50	 17.00	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00	 18.10	 18.20
18	1635	Reutlinger Straße		1	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22
