				Fahrtenschl¸ssel	05:04	05:34	06:04	06:34	07:00	08:00	08:30	09:00	12:03	12:33	13:03	13:33	14:03	14:33	15:00	15:30	15:45	16:00	16:15	16:30	17:00	17:30	18:04	18:34	19:04	19:34	20:04	20:39	21:39	22:39
				Verkehrsbeschr‰nkung																														
				Hinweis																														
				Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	41	41	41
1	1540	Hans-Lorenser-Straﬂe		2	 05.04	 05.34	 06.04	 06.34	 07.00	 08.00	 08.30	 09.00	 12.03	 12.33	 13.03	 13.33	 14.03	 14.33	 15.00	 15.30	 15.45	 16.00	 16.15	 16.30	 17.00	 17.30	 18.04	 18.34	 19.04	 19.34	 20.04	 20.39	 21.39	 22.39
2	1539	Ernst-Abbe-Straﬂe		2	 05.06	 05.36	 06.06	 06.36	 07.02	 08.02	 08.32	 09.02	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.02	 15.32	 15.47	 16.02	 16.17	 16.32	 17.02	 17.32	 18.06	 18.36	 19.06	 19.36	 20.06	 20.41	 21.41	 22.41
3	1554	Firma UPS		1	 05.06	 05.36	 06.06	 06.36	 07.02	 08.02	 08.32	 09.02	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.02	 15.32	 15.47	 16.02	 16.17	 16.32	 17.02	 17.32	 18.06	 18.36	 19.06	 19.36	 20.06	 20.41	 21.41	 22.41
4	1552	Firma Rheinzink		1	 05.07	 05.37	 06.07	 06.37	 07.03	 08.03	 08.33	 09.03	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.03	 15.33	 15.48	 16.03	 16.18	 16.33	 17.03	 17.33	 18.07	 18.37	 19.07	 19.37	 20.07	 20.42	 21.42	 22.42
5	1574	IVECO		1	 05.08	 05.38	 06.08	 06.38	 07.04	 08.04	 08.34	 09.04	 12.07	 12.37	 13.07	 13.37	 14.07	 14.37	 15.04	 15.34	 15.49	 16.04	 16.19	 16.34	 17.04	 17.34	 18.08	 18.38	 19.08	 19.38	 20.08	 20.43	 21.43	 22.43
6	1586	DEUTZ AG		1	 05.08	 05.38	 06.08	 06.38	 07.04	 08.04	 08.34	 09.04	 12.07	 12.37	 13.07	 13.37	 14.07	 14.37	 15.04	 15.34	 15.49	 16.04	 16.19	 16.34	 17.04	 17.34	 18.08	 18.38	 19.08	 19.38	 20.08	 20.43	 21.43	 22.43
7	1548	Firma Meiller		1	 05.09	 05.39	 06.09	 06.39	 07.05	 08.05	 08.35	 09.05	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.05	 15.35	 15.50	 16.05	 16.20	 16.35	 17.05	 17.35	 18.09	 18.39	 19.09	 19.39	 20.09	 20.44	 21.44	 22.44
8	1549	Fa. Merckle / Ratiopharm		1	 05.09	 05.39	 06.09	 06.39	 07.05	 08.05	 08.35	 09.05	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.05	 15.35	 15.50	 16.05	 16.20	 16.35	 17.05	 17.35	 18.09	 18.39	 19.09	 19.39	 20.09	 20.44	 21.44	 22.44
9	1561	Graf-Arco-Straﬂe		2	 05.10	 05.40	 06.10	 06.40	 07.06	 08.06	 08.36	 09.06	 12.09	 12.39	 13.09	 13.39	 14.09	 14.39	 15.06	 15.36	 15.51	 16.06	 16.21	 16.36	 17.06	 17.36	 18.10	 18.40	 19.10	 19.40	 20.10	 20.45	 21.45	 22.45
10	1555	Firma Wieland		2	 05.11	 05.41	 06.11	 06.41	 07.07	 08.07	 08.37	 09.07	 12.10	 12.40	 13.10	 13.40	 14.10	 14.40	 15.07	 15.37	 15.52	 16.07	 16.22	 16.37	 17.07	 17.37	 18.11	 18.41	 19.11	 19.41	 20.11	 20.46	 21.46	 22.46
11	1594	Firma Seeberger		2	 05.12	 05.42	 06.12	 06.42	 07.08	 08.08	 08.38	 09.08	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.08	 15.38	 15.53	 16.08	 16.23	 16.38	 17.08	 17.38	 18.12	 18.42	 19.12	 19.42	 20.12	 20.47	 21.47	 22.47
12	1532	Siemensstraﬂe		1	 05.13	 05.43	 06.13	 06.43	 07.09	 08.09	 08.39	 09.09	 12.12	 12.42	 13.12	 13.42	 14.12	 14.42	 15.09	 15.39	 15.54	 16.09	 16.24	 16.39	 17.09	 17.39	 18.13	 18.43	 19.13	 19.43	 20.13	 20.48	 21.48	 22.48
13	1503	Heuweg		1	 05.14	 05.44	 06.14	 06.44	 07.10	 08.10	 08.40	 09.10	 12.13	 12.43	 13.13	 13.43	 14.13	 14.43	 15.10	 15.40	 15.55	 16.10	 16.25	 16.40	 17.10	 17.40	 18.14	 18.44	 19.14	 19.44	 20.14	 20.49	 21.49	 22.49
14	1502	Daimlerstraﬂe		1	 05.15	 05.45	 06.15	 06.45	 07.11	 08.11	 08.41	 09.11	 12.14	 12.44	 13.14	 13.44	 14.14	 14.44	 15.11	 15.41	 15.56	 16.11	 16.26	 16.41	 17.11	 17.41	 18.15	 18.45	 19.15	 19.45	 20.15	 20.50	 21.50	 22.50
15	1500	Steinbeisstraﬂe		1	 05.15	 05.45	 06.15	 06.45	 07.11	 08.11	 08.41	 09.11	 12.14	 12.44	 13.14	 13.44	 14.14	 14.44	 15.11	 15.41	 15.56	 16.11	 16.26	 16.41	 17.11	 17.41	 18.15	 18.45	 19.15	 19.45	 20.15	 20.50	 21.50	 22.50
16	1507	Boschstraﬂe		1	 05.15	 05.45	 06.15	 06.45	 07.12	 08.12	 08.42	 09.12	 12.15	 12.45	 13.15	 13.45	 14.15	 14.45	 15.12	 15.42	 15.57	 16.12	 16.27	 16.42	 17.12	 17.42	 18.15	 18.45	 19.15	 19.45	 20.15	 20.50	 21.50	 22.50
17	1528	Gasthof Donautal		1	 05.17	 05.47	 06.17	 06.47	 07.14	 08.14	 08.44	 09.14	 12.17	 12.47	 13.17	 13.47	 14.17	 14.47	 15.14	 15.44	 15.59	 16.14	 16.29	 16.44	 17.14	 17.44	 18.17	 18.47	 19.17	 19.47	 20.17	 20.52	 21.52	 22.52
18	1359	Haﬂlerstraﬂe		3	 05.19	 05.49	 06.19	 06.49	 07.18	 08.18	 08.48	 09.18	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.18	 15.48	 16.03	 16.18	 16.33	 16.48	 17.18	 17.48	 18.19	 18.49	 19.19	 19.49	 20.19	 20.54	 21.54	 22.54
19	1350	Ehinger Tor		1	 05.22	 05.52	 06.22	 06.52	 07.22	 08.22	 08.52	 09.22	 12.22	 12.52	 13.22	 13.52	 14.22	 14.52	 15.22	 15.52	 16.07	 16.22	 16.37	 16.52	 17.22	 17.52	 18.22	 18.52	 19.22	 19.52	 20.22	 20.57	 21.57	 22.57
20	1008	Hauptbahnhof		1	 05.25	 05.55	 06.25	 06.55	 07.25	 08.25	 08.55	 09.25	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.25	 15.55	 16.10	 16.25	 16.40	 16.55	 17.25	 17.55	 18.25	 18.55	 19.25	 19.55	 20.25	 21.00	 22.00	 23.00
