				Fahrtenschl¸ssel	05:04	06:04	07:04	08:04	09:04	10:04	11:04	12:04	13:04	14:04	15:04	16:04	17:04	18:04
				Verkehrsbeschr‰nkung														
				Hinweis														
				Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	1540	Hans-Lorenser-Straﬂe		2	 05.04	 06.04	 07.04	 08.04	 09.04	 10.04	 11.04	 12.04	 13.04	 14.04	 15.04	 16.04	 17.04	 18.04
2	1539	Ernst-Abbe-Straﬂe		2	 05.06	 06.06	 07.06	 08.06	 09.06	 10.06	 11.06	 12.06	 13.06	 14.06	 15.06	 16.06	 17.06	 18.06
3	1554	Firma UPS		1	 05.06	 06.06	 07.06	 08.06	 09.06	 10.06	 11.06	 12.06	 13.06	 14.06	 15.06	 16.06	 17.06	 18.06
4	1552	Firma Rheinzink		1	 05.07	 06.07	 07.07	 08.07	 09.07	 10.07	 11.07	 12.07	 13.07	 14.07	 15.07	 16.07	 17.07	 18.07
5	1574	IVECO		1	 05.08	 06.08	 07.08	 08.08	 09.08	 10.08	 11.08	 12.08	 13.08	 14.08	 15.08	 16.08	 17.08	 18.08
6	1586	DEUTZ AG		1	 05.08	 06.08	 07.08	 08.08	 09.08	 10.08	 11.08	 12.08	 13.08	 14.08	 15.08	 16.08	 17.08	 18.08
7	1548	Firma Meiller		1	 05.09	 06.09	 07.09	 08.09	 09.09	 10.09	 11.09	 12.09	 13.09	 14.09	 15.09	 16.09	 17.09	 18.09
8	1549	Fa. Merckle / Ratiopharm		1	 05.09	 06.09	 07.09	 08.09	 09.09	 10.09	 11.09	 12.09	 13.09	 14.09	 15.09	 16.09	 17.09	 18.09
9	1561	Graf-Arco-Straﬂe		2	 05.10	 06.10	 07.10	 08.10	 09.10	 10.10	 11.10	 12.10	 13.10	 14.10	 15.10	 16.10	 17.10	 18.10
10	1555	Firma Wieland		2	 05.11	 06.11	 07.11	 08.11	 09.11	 10.11	 11.11	 12.11	 13.11	 14.11	 15.11	 16.11	 17.11	 18.11
11	1594	Firma Seeberger		2	 05.12	 06.12	 07.12	 08.12	 09.12	 10.12	 11.12	 12.12	 13.12	 14.12	 15.12	 16.12	 17.12	 18.12
12	1532	Siemensstraﬂe		1	 05.13	 06.13	 07.13	 08.13	 09.13	 10.13	 11.13	 12.13	 13.13	 14.13	 15.13	 16.13	 17.13	 18.13
13	1503	Heuweg		1	 05.14	 06.14	 07.14	 08.14	 09.14	 10.14	 11.14	 12.14	 13.14	 14.14	 15.14	 16.14	 17.14	 18.14
14	1502	Daimlerstraﬂe		1	 05.15	 06.15	 07.15	 08.15	 09.15	 10.15	 11.15	 12.15	 13.15	 14.15	 15.15	 16.15	 17.15	 18.15
15	1500	Steinbeisstraﬂe		1	 05.15	 06.15	 07.15	 08.15	 09.15	 10.15	 11.15	 12.15	 13.15	 14.15	 15.15	 16.15	 17.15	 18.15
16	1507	Boschstraﬂe		1	 05.15	 06.15	 07.15	 08.15	 09.15	 10.15	 11.15	 12.15	 13.15	 14.15	 15.15	 16.15	 17.15	 18.15
17	1528	Gasthof Donautal		1	 05.17	 06.17	 07.17	 08.17	 09.17	 10.17	 11.17	 12.17	 13.17	 14.17	 15.17	 16.17	 17.17	 18.17
18	1359	Haﬂlerstraﬂe		3	 05.19	 06.19	 07.19	 08.19	 09.19	 10.19	 11.19	 12.19	 13.19	 14.19	 15.19	 16.19	 17.19	 18.19
19	1350	Ehinger Tor		1	 05.22	 06.22	 07.22	 08.22	 09.22	 10.22	 11.22	 12.22	 13.22	 14.22	 15.22	 16.22	 17.22	 18.22
20	1008	Hauptbahnhof		1	 05.25	 06.25	 07.25	 08.25	 09.25	 10.25	 11.25	 12.25	 13.25	 14.25	 15.25	 16.25	 17.25	 18.25
