				Fahrtenschl¸ssel	04:35	05:05	05:35	05:50	06:05	06:20	06:35	06:50	07:05	07:20	07:35	07:50	08:05	08:20	08:35	09:05	12:05	12:35	13:05	13:35	14:05	14:35	15:05	15:35	16:05	16:35	17:05	17:35	18:05	18:35	19:05	19:35	21:15	22:15
				Verkehrsbeschr‰nkung																																		
				Hinweis																																		
				Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	41	41
1	1008	Hauptbahnhof		2	 04.35	 05.05	 05.35	 05.50	 06.05	 06.20	 06.35	 06.50	 07.05	 07.20	 07.35	 07.50	 08.05	 08.20	 08.35	 09.05	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.05	 15.35	 16.05	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05	 19.35	 21.15	 22.15
2	1350	Ehinger Tor		4	 04.38	 05.08	 05.38	 05.53	 06.08	 06.23	 06.38	 06.53	 07.08	 07.23	 07.38	 07.53	 08.08	 08.23	 08.38	 09.08	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08	 19.38	 21.18	 22.18
3	1359	Haﬂlerstraﬂe		4	 04.40	 05.10	 05.40	 05.55	 06.10	 06.25	 06.40	 06.55	 07.10	 07.25	 07.40	 07.55	 08.10	 08.25	 08.40	 09.10	 12.10	 12.40	 13.10	 13.40	 14.10	 14.40	 15.10	 15.40	 16.10	 16.40	 17.10	 17.40	 18.10	 18.40	 19.10	 19.40	 21.20	 22.20
4	1528	Gasthof Donautal		2	 04.42	 05.12	 05.42	 05.57	 06.12	 06.27	 06.42	 06.57	 07.12	 07.27	 07.42	 07.57	 08.12	 08.27	 08.42	 09.12	 12.12	 12.42	 13.12	 13.42	 14.12	 14.42	 15.12	 15.42	 16.12	 16.42	 17.12	 17.42	 18.12	 18.42	 19.12	 19.42	 21.22	 22.22
5	1507	Boschstraﬂe		2	 04.44	 05.14	 05.44	 05.59	 06.14	 06.29	 06.44	 06.59	 07.14	 07.29	 07.44	 07.59	 08.14	 08.29	 08.44	 09.14	 12.14	 12.44	 13.14	 13.44	 14.14	 14.44	 15.14	 15.44	 16.14	 16.44	 17.14	 17.44	 18.14	 18.44	 19.14	 19.44	 21.24	 22.24
6	1500	Steinbeisstraﬂe		2	 04.45	 05.14	 05.44	 05.59	 06.14	 06.29	 06.44	 06.59	 07.14	 07.29	 07.44	 07.59	 08.15	 08.30	 08.45	 09.15	 12.15	 12.45	 13.15	 13.45	 14.15	 14.45	 15.15	 15.45	 16.15	 16.45	 17.15	 17.45	 18.15	 18.45	 19.15	 19.45	 21.25	 22.25
7	1502	Daimlerstraﬂe		2	 04.45	 05.15	 05.45	 06.00	 06.15	 06.30	 06.45	 07.00	 07.15	 07.30	 07.45	 08.00	 08.15	 08.30	 08.45	 09.15	 12.15	 12.45	 13.15	 13.45	 14.15	 14.45	 15.16	 15.46	 16.16	 16.46	 17.16	 17.46	 18.16	 18.46	 19.15	 19.45	 21.25	 22.25
8	1503	Heuweg		2	 04.45	 05.16	 05.46	 06.01	 06.16	 06.31	 06.46	 07.01	 07.16	 07.31	 07.46	 08.01	 08.15	 08.30	 08.45	 09.15	 12.15	 12.45	 13.15	 13.45	 14.15	 14.45	 15.16	 15.46	 16.16	 16.46	 17.16	 17.46	 18.16	 18.46	 19.15	 19.45	 21.25	 22.25
9	1532	Siemensstraﬂe		2	 04.46	 05.17	 05.47	 06.02	 06.17	 06.32	 06.47	 07.02	 07.17	 07.32	 07.47	 08.02	 08.16	 08.31	 08.46	 09.16	 12.16	 12.46	 13.16	 13.46	 14.16	 14.46	 15.17	 15.47	 16.17	 16.47	 17.17	 17.47	 18.17	 18.47	 19.16	 19.46	 21.26	 22.26
10	1594	Firma Seeberger		1	 04.47	 05.18	 05.48	 06.03	 06.18	 06.33	 06.48	 07.03	 07.18	 07.33	 07.48	 08.03	 08.17	 08.32	 08.47	 09.17	 12.17	 12.47	 13.17	 13.47	 14.17	 14.47	 15.18	 15.48	 16.18	 16.48	 17.18	 17.48	 18.18	 18.48	 19.17	 19.47	 21.27	 22.27
11	1555	Firma Wieland		1	 04.48	 05.19	 05.49	 06.04	 06.19	 06.34	 06.49	 07.04	 07.19	 07.34	 07.49	 08.04	 08.18	 08.33	 08.48	 09.18	 12.18	 12.48	 13.18	 13.48	 14.18	 14.48	 15.19	 15.49	 16.19	 16.49	 17.19	 17.49	 18.19	 18.49	 19.18	 19.48	 21.28	 22.28
12	1561	Graf-Arco-Straﬂe		3	 04.49	 05.20	 05.50	 06.05	 06.20	 06.35	 06.50	 07.05	 07.20	 07.35	 07.50	 08.05	 08.19	 08.34	 08.49	 09.19	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.20	 15.50	 16.20	 16.50	 17.20	 17.50	 18.20	 18.50	 19.19	 19.49	 21.29	 22.29
13	1549	Fa. Merckle / Ratiopharm		2	 04.49	 05.21	 05.51	 06.06	 06.21	 06.36	 06.51	 07.06	 07.21	 07.36	 07.51	 08.06	 08.19	 08.34	 08.49	 09.19	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.21	 15.51	 16.21	 16.51	 17.21	 17.51	 18.21	 18.51	 19.19	 19.49	 21.29	 22.29
14	1548	Firma Meiller		2	 04.50	 05.22	 05.52	 06.07	 06.22	 06.37	 06.52	 07.07	 07.22	 07.37	 07.52	 08.07	 08.20	 08.35	 08.50	 09.20	 12.20	 12.50	 13.20	 13.50	 14.20	 14.50	 15.22	 15.52	 16.22	 16.52	 17.22	 17.52	 18.22	 18.52	 19.20	 19.50	 21.30	 22.30
15	1586	DEUTZ AG		2	 04.50	 05.22	 05.52	 06.07	 06.22	 06.37	 06.52	 07.07	 07.22	 07.37	 07.52	 08.07	 08.20	 08.35	 08.50	 09.20	 12.20	 12.50	 13.20	 13.50	 14.20	 14.50	 15.22	 15.52	 16.22	 16.52	 17.22	 17.52	 18.22	 18.52	 19.20	 19.50	 21.30	 22.30
16	1574	IVECO		2	 04.51	 05.23	 05.53	 06.08	 06.23	 06.38	 06.53	 07.08	 07.23	 07.38	 07.53	 08.08	 08.21	 08.36	 08.51	 09.21	 12.21	 12.51	 13.21	 13.51	 14.21	 14.51	 15.23	 15.53	 16.23	 16.53	 17.23	 17.53	 18.23	 18.53	 19.21	 19.51	 21.31	 22.31
17	1552	Firma Rheinzink		2	 04.52	 05.24	 05.54	 06.09	 06.24	 06.39	 06.54	 07.09	 07.24	 07.39	 07.54	 08.09	 08.22	 08.37	 08.52	 09.22	 12.22	 12.52	 13.22	 13.52	 14.22	 14.52	 15.23	 15.53	 16.23	 16.53	 17.23	 17.53	 18.23	 18.53	 19.22	 19.52	 21.32	 22.32
18	1554	Firma UPS		2	 04.53	 05.25	 05.55	 06.10	 06.25	 06.40	 06.55	 07.10	 07.25	 07.40	 07.55	 08.10	 08.23	 08.38	 08.53	 09.23	 12.23	 12.53	 13.23	 13.53	 14.23	 14.53	 15.24	 15.54	 16.24	 16.54	 17.24	 17.54	 18.24	 18.54	 19.23	 19.53	 21.33	 22.33
19	1539	Ernst-Abbe-Straﬂe		1	 04.53	 05.25	 05.55	 06.10	 06.25	 06.40	 06.55	 07.10	 07.25	 07.40	 07.55	 08.10	 08.23	 08.38	 08.53	 09.23	 12.23	 12.53	 13.23	 13.53	 14.23	 14.53	 15.24	 15.54	 16.24	 16.54	 17.24	 17.54	 18.24	 18.54	 19.23	 19.53	 21.33	 22.33
20	1540	Hans-Lorenser-Straﬂe		1	 04.55	 05.27	 05.57	 06.12	 06.27	 06.42	 06.57	 07.12	 07.27	 07.42	 07.57	 08.12	 08.25	 08.40	 08.55	 09.25	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.26	 15.56	 16.26	 16.56	 17.26	 17.56	 18.26	 18.56	 19.25	 19.55	 21.35	 22.35
