				Fahrtenschl¸ssel	04:35	05:35	06:35	07:35	08:35	09:35	10:35	11:35	12:35	13:35	14:35	15:35	16:35	17:35
				Verkehrsbeschr‰nkung														
				Hinweis														
				Transportgef‰ﬂtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	1008	Hauptbahnhof		2	 04.35	 05.35	 06.35	 07.35	 08.35	 09.35	 10.35	 11.35	 12.35	 13.35	 14.35	 15.35	 16.35	 17.35
2	1350	Ehinger Tor		4	 04.38	 05.38	 06.38	 07.38	 08.38	 09.38	 10.38	 11.38	 12.38	 13.38	 14.38	 15.38	 16.38	 17.38
3	1359	Haﬂlerstraﬂe		4	 04.40	 05.40	 06.40	 07.40	 08.40	 09.40	 10.40	 11.40	 12.40	 13.40	 14.40	 15.40	 16.40	 17.40
4	1528	Gasthof Donautal		2	 04.42	 05.42	 06.42	 07.42	 08.42	 09.42	 10.42	 11.42	 12.42	 13.42	 14.42	 15.42	 16.42	 17.42
5	1507	Boschstraﬂe		2	 04.44	 05.44	 06.44	 07.44	 08.44	 09.44	 10.44	 11.44	 12.44	 13.44	 14.44	 15.44	 16.44	 17.44
6	1500	Steinbeisstraﬂe		2	 04.45	 05.45	 06.45	 07.45	 08.45	 09.45	 10.45	 11.45	 12.45	 13.45	 14.45	 15.45	 16.45	 17.45
7	1502	Daimlerstraﬂe		2	 04.45	 05.45	 06.45	 07.45	 08.45	 09.45	 10.45	 11.45	 12.45	 13.45	 14.45	 15.45	 16.45	 17.45
8	1503	Heuweg		2	 04.45	 05.45	 06.45	 07.45	 08.45	 09.45	 10.45	 11.45	 12.45	 13.45	 14.45	 15.45	 16.45	 17.45
9	1532	Siemensstraﬂe		2	 04.46	 05.46	 06.46	 07.46	 08.46	 09.46	 10.46	 11.46	 12.46	 13.46	 14.46	 15.46	 16.46	 17.46
10	1594	Firma Seeberger		1	 04.47	 05.47	 06.47	 07.47	 08.47	 09.47	 10.47	 11.47	 12.47	 13.47	 14.47	 15.47	 16.47	 17.47
11	1555	Firma Wieland		1	 04.48	 05.48	 06.48	 07.48	 08.48	 09.48	 10.48	 11.48	 12.48	 13.48	 14.48	 15.48	 16.48	 17.48
12	1561	Graf-Arco-Straﬂe		3	 04.49	 05.49	 06.49	 07.49	 08.49	 09.49	 10.49	 11.49	 12.49	 13.49	 14.49	 15.49	 16.49	 17.49
13	1549	Fa. Merckle / Ratiopharm		2	 04.49	 05.49	 06.49	 07.49	 08.49	 09.49	 10.49	 11.49	 12.49	 13.49	 14.49	 15.49	 16.49	 17.49
14	1548	Firma Meiller		2	 04.50	 05.50	 06.50	 07.50	 08.50	 09.50	 10.50	 11.50	 12.50	 13.50	 14.50	 15.50	 16.50	 17.50
15	1586	DEUTZ AG		2	 04.50	 05.50	 06.50	 07.50	 08.50	 09.50	 10.50	 11.50	 12.50	 13.50	 14.50	 15.50	 16.50	 17.50
16	1574	IVECO		2	 04.51	 05.51	 06.51	 07.51	 08.51	 09.51	 10.51	 11.51	 12.51	 13.51	 14.51	 15.51	 16.51	 17.51
17	1552	Firma Rheinzink		2	 04.52	 05.52	 06.52	 07.52	 08.52	 09.52	 10.52	 11.52	 12.52	 13.52	 14.52	 15.52	 16.52	 17.52
18	1554	Firma UPS		2	 04.53	 05.53	 06.53	 07.53	 08.53	 09.53	 10.53	 11.53	 12.53	 13.53	 14.53	 15.53	 16.53	 17.53
19	1539	Ernst-Abbe-Straﬂe		1	 04.53	 05.53	 06.53	 07.53	 08.53	 09.53	 10.53	 11.53	 12.53	 13.53	 14.53	 15.53	 16.53	 17.53
20	1540	Hans-Lorenser-Straﬂe		1	 04.55	 05.55	 06.55	 07.55	 08.55	 09.55	 10.55	 11.55	 12.55	 13.55	 14.55	 15.55	 16.55	 17.55
