			Fahrtenschlüssel	05:40	05:55	06:10	06:25	06:40	06:55	07:10	07:25	07:40	07:55	08:10	08:25	08:55	09:25	09:55	10:25	10:55	11:25	11:40	11:55	12:10	12:25	12:40	12:55	13:10	13:25	13:55	14:25	14:55	15:25	15:40	15:55	16:10	16:25	16:40	16:55	17:10	17:25	17:40	17:55	18:10	18:25	18:40	18:55	19:25	19:55
			Verkehrsbeschränkung																																														
			Hinweis																																														
			Transportgefäßtyp	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
1	1329	Oberer Roter Berg	1	 05.40	 05.55	 06.10	 06.25	 06.40	 06.55	 07.10	 07.25	 07.40	 07.55	 08.10	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.25	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.55	 14.25	 14.55	 15.25	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.25	 19.55
2	1339	Am Roten Berg	2	 05.41	 05.56	 06.11	 06.26	 06.41	 06.56	 07.11	 07.26	 07.41	 07.56	 08.11	 08.26	 08.56	 09.26	 09.56	 10.26	 10.56	 11.26	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.56	 14.26	 14.56	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.26	 19.56
3	1340	Riedwiesenweg	2	 05.42	 05.57	 06.12	 06.27	 06.42	 06.57	 07.12	 07.27	 07.42	 07.57	 08.12	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.27	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.57	 14.27	 14.57	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.27	 19.57
4	1341	St.-Jakob-Straße	2	 05.43	 05.58	 06.13	 06.28	 06.43	 06.58	 07.13	 07.28	 07.43	 07.58	 08.13	 08.28	 08.58	 09.28	 09.58	 10.28	 10.58	 11.28	 11.43	 11.58	 12.13	 12.28	 12.43	 12.58	 13.13	 13.28	 13.58	 14.28	 14.58	 15.28	 15.43	 15.58	 16.13	 16.28	 16.43	 16.58	 17.13	 17.28	 17.43	 17.58	 18.13	 18.28	 18.43	 18.58	 19.28	 19.58
5	1342	Clarissenstraße	2	 05.44	 05.59	 06.14	 06.29	 06.44	 06.59	 07.14	 07.29	 07.44	 07.59	 08.14	 08.29	 08.59	 09.29	 09.59	 10.29	 10.59	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.59	 14.29	 14.59	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.29	 19.59
6	1301	Ottiliengasse	2	 05.45	 06.00	 06.15	 06.30	 06.45	 07.00	 07.15	 07.30	 07.45	 08.00	 08.15	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.30	 11.45	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 14.00	 14.30	 15.00	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.30	 20.00
7	1300	Söflingen	3	 05.46	 06.01	 06.16	 06.31	 06.46	 07.01	 07.16	 07.31	 07.46	 08.01	 08.16	 08.31	 09.01	 09.31	 10.01	 10.31	 11.01	 11.31	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 14.01	 14.31	 15.01	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.31	 20.01
