			Fahrtenschlüssel	05:25	05:55	06:25	06:55	07:25	07:55	08:25	08:55	09:25	09:55	10:25	10:55	11:25	11:55	12:25	12:55	13:25	13:55	14:25	14:55	15:25	15:55	16:25
			Verkehrsbeschränkung																							
			Hinweis																							
			Transportgefäßtyp	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
1	1329	Oberer Roter Berg	1	 05.25	 05.55	 06.25	 06.55	 07.25	 07.55	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.25	 11.55	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.25	 15.55	 16.25
2	1339	Am Roten Berg	2	 05.26	 05.56	 06.26	 06.56	 07.26	 07.56	 08.26	 08.56	 09.26	 09.56	 10.26	 10.56	 11.26	 11.56	 12.26	 12.56	 13.26	 13.56	 14.26	 14.56	 15.26	 15.56	 16.26
3	1340	Riedwiesenweg	2	 05.27	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.27	 11.57	 12.27	 12.57	 13.27	 13.57	 14.27	 14.57	 15.27	 15.57	 16.27
4	1341	St.-Jakob-Straße	2	 05.28	 05.58	 06.28	 06.58	 07.28	 07.58	 08.28	 08.58	 09.28	 09.58	 10.28	 10.58	 11.28	 11.58	 12.28	 12.58	 13.28	 13.58	 14.28	 14.58	 15.28	 15.58	 16.28
5	1342	Clarissenstraße	2	 05.29	 05.59	 06.29	 06.59	 07.29	 07.59	 08.29	 08.59	 09.29	 09.59	 10.29	 10.59	 11.29	 11.59	 12.29	 12.59	 13.29	 13.59	 14.29	 14.59	 15.29	 15.59	 16.29
6	1301	Ottiliengasse	2	 05.30	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.30	 12.00	 12.30	 13.00	 13.30	 14.00	 14.30	 15.00	 15.30	 16.00	 16.30
7	1300	Söflingen	3	 05.31	 06.01	 06.31	 07.01	 07.31	 08.01	 08.31	 09.01	 09.31	 10.01	 10.31	 11.01	 11.31	 12.01	 12.31	 13.01	 13.31	 14.01	 14.31	 15.01	 15.31	 16.01	 16.31
8	1300	Söflingen	3	 05.33	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	 09.03	 09.33	 10.03	 10.33	 11.03	 11.33	 12.03	 12.33	 13.03	 13.33	 14.03	 14.33	 15.03	 15.33	 16.03	 16.33
9	1333	Torstraße	1	 05.34	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.34	 12.04	 12.34	 13.04	 13.34	 14.04	 14.34	 15.04	 15.34	 16.04	 16.34
10	1345	Fünf-Bäume-Weg	1	 05.35	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.35	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.05	 15.35	 16.05	 16.35
11	1324	Fünf-Bäume-Weg Mitte	1	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.36	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.06	 15.36	 16.06	 16.36
12	1325	Maienweg Nord	1	 05.37	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.37	 12.07	 12.37	 13.07	 13.37	 14.07	 14.37	 15.07	 15.37	 16.07	 16.37
13	1320	Krankenhaus Söflingen	3	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38
14	1321	Schongauer Weg	1	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38
15	1322	Leonberger Weg	1	 05.39	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.39	 12.09	 12.39	 13.09	 13.39	 14.09	 14.39	 15.09	 15.39	 16.09	 16.39
16	1332	Maienweg	1	 05.40	 06.10	 06.40	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.40	 12.10	 12.40	 13.10	 13.40	 14.10	 14.40	 15.10	 15.40	 16.10	 16.40
17	1323	Gleißelstetten	1	 05.41	 06.11	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11	 16.41
