			Fahrtenschlüssel	05:41	05:56	06:11	06:26	06:41	06:56	07:11	07:26	07:41	07:56	08:11	08:41	09:11	09:41	10:11	10:41	11:11	11:26	11:41	11:56	12:11	12:26	12:41	12:56	13:11	13:26	13:41	14:11	14:41	15:11	15:26	15:41	15:56	16:11	16:26	16:41	16:56	17:11	17:26	17:41	17:56	18:11	18:26	18:41	19:11	19:41
			Verkehrsbeschränkung																																														
			Hinweis																																														
			Transportgefäßtyp	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
1	1323	Gleißelstetten	1	 05.41	 05.56	 06.11	 06.26	 06.41	 06.56	 07.11	 07.26	 07.41	 07.56	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.26	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 14.11	 14.41	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 19.11	 19.41
2	1332	Maienweg	2	 05.42	 05.57	 06.12	 06.27	 06.42	 06.57	 07.12	 07.27	 07.42	 07.57	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.27	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 14.12	 14.42	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 19.12	 19.42
3	1326	Waidstraße	2	 05.43	 05.58	 06.13	 06.28	 06.43	 06.58	 07.13	 07.28	 07.43	 07.58	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.28	 11.43	 11.58	 12.13	 12.28	 12.43	 12.58	 13.13	 13.28	 13.43	 14.13	 14.43	 15.13	 15.28	 15.43	 15.58	 16.13	 16.28	 16.43	 16.58	 17.13	 17.28	 17.43	 17.58	 18.13	 18.28	 18.43	 19.13	 19.43
4	1310	Sonnenstraße	3	 05.44	 05.59	 06.14	 06.29	 06.44	 06.59	 07.14	 07.29	 07.44	 07.59	 08.14	 08.44	 09.14	 09.44	 10.14	 10.44	 11.14	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 14.14	 14.44	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 19.14	 19.44
5	1300	Söflingen	2	 05.46	 06.01	 06.16	 06.31	 06.46	 07.01	 07.16	 07.31	 07.46	 08.01	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.31	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 14.16	 14.46	 15.16	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.16	 19.46
6	1300	Söflingen	2	 05.48	 06.03	 06.18	 06.33	 06.48	 07.03	 07.18	 07.33	 07.48	 08.03	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.33	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 14.18	 14.48	 15.18	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.18	 19.48
7	1301	Ottiliengasse	1	 05.49	 06.04	 06.19	 06.34	 06.49	 07.04	 07.19	 07.34	 07.49	 08.04	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.34	 11.49	 12.04	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 13.49	 14.19	 14.49	 15.19	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.19	 19.49
