			Fahrtenschlüssel	05:11	05:41	06:11	06:41	07:11	07:41	08:11	08:41	09:11	09:41	10:11	10:41	11:11	11:41	12:11	12:41	13:11	13:41	14:11	14:41	15:11	15:41	16:11
			Verkehrsbeschränkung																							
			Hinweis																							
			Transportgefäßtyp	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
1	1323	Gleißelstetten	1	 05.11	 05.41	 06.11	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11
2	1332	Maienweg	2	 05.12	 05.42	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.42	 12.12	 12.42	 13.12	 13.42	 14.12	 14.42	 15.12	 15.42	 16.12
3	1326	Waidstraße	2	 05.13	 05.43	 06.13	 06.43	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.43	 12.13	 12.43	 13.13	 13.43	 14.13	 14.43	 15.13	 15.43	 16.13
4	1310	Sonnenstraße	3	 05.14	 05.44	 06.14	 06.44	 07.14	 07.44	 08.14	 08.44	 09.14	 09.44	 10.14	 10.44	 11.14	 11.44	 12.14	 12.44	 13.14	 13.44	 14.14	 14.44	 15.14	 15.44	 16.14
5	1300	Söflingen	2	 05.16	 05.46	 06.16	 06.46	 07.16	 07.46	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.46	 12.16	 12.46	 13.16	 13.46	 14.16	 14.46	 15.16	 15.46	 16.16
6	1300	Söflingen	2	 05.18	 05.48	 06.18	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.48	 12.18	 12.48	 13.18	 13.48	 14.18	 14.48	 15.18	 15.48	 16.18
7	1301	Ottiliengasse	1	 05.19	 05.49	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.49	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.19	 15.49	 16.19
8	1342	Clarissenstraße	1	 05.20	 05.50	 06.20	 06.50	 07.20	 07.50	 08.20	 08.50	 09.20	 09.50	 10.20	 10.50	 11.20	 11.50	 12.20	 12.50	 13.20	 13.50	 14.20	 14.50	 15.20	 15.50	 16.20
9	1341	St.-Jakob-Straße	1	 05.21	 05.51	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.21	 11.51	 12.21	 12.51	 13.21	 13.51	 14.21	 14.51	 15.21	 15.51	 16.21
10	1340	Riedwiesenweg	1	 05.22	 05.52	 06.22	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	 11.22	 11.52	 12.22	 12.52	 13.22	 13.52	 14.22	 14.52	 15.22	 15.52	 16.22
11	1339	Am Roten Berg	1	 05.23	 05.53	 06.23	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.23	 11.53	 12.23	 12.53	 13.23	 13.53	 14.23	 14.53	 15.23	 15.53	 16.23
12	1329	Oberer Roter Berg	1	 05.24	 05.54	 06.24	 06.54	 07.24	 07.54	 08.24	 08.54	 09.24	 09.54	 10.24	 10.54	 11.24	 11.54	 12.24	 12.54	 13.24	 13.54	 14.24	 14.54	 15.24	 15.54	 16.24
