			Fahrtenschlüssel	07:09	07:39	08:09	08:39	09:09	09:39	10:09	10:39	11:09	11:39	12:09	12:39	13:09	13:39	14:09	14:39	15:09	15:39	16:09
			Verkehrsbeschränkung																			
			Hinweis																			
			Transportgefäßtyp	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
1	1392	Am Hochsträß	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
2	1391	Oberer Kuhberg	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
3	1390	Kuhberg Schulzentrum	1	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.39	 12.09	 12.39	 13.09	 13.39	 14.09	 14.39	 15.09	 15.39	 16.09
4	1296	Neunkirchenweg	1	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11
5	1297	Sulzbachweg	1	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.42	 12.12	 12.42	 13.12	 13.42	 14.12	 14.42	 15.12	 15.42	 16.12
6	1299	Sedanstraße	1	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.43	 12.13	 12.43	 13.13	 13.43	 14.13	 14.43	 15.13	 15.43	 16.13
7	1311	Königstraße	2	 07.14	 07.44	 08.14	 08.44	 09.14	 09.44	 10.14	 10.44	 11.14	 11.44	 12.14	 12.44	 13.14	 13.44	 14.14	 14.44	 15.14	 15.44	 16.14
8	1310	Sonnenstraße	2	 07.15	 07.45	 08.15	 08.45	 09.15	 09.45	 10.15	 10.45	 11.15	 11.45	 12.15	 12.45	 13.15	 13.45	 14.15	 14.45	 15.15	 15.45	 16.15
9	1300	Söflingen	2	 07.16	 07.46	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.46	 12.16	 12.46	 13.16	 13.46	 14.16	 14.46	 15.16	 15.46	 16.16
10	1300	Söflingen	2	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.48	 12.18	 12.48	 13.18	 13.48	 14.18	 14.48	 15.18	 15.48	 16.18
11	1301	Ottiliengasse	1	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.49	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.19	 15.49	 16.19
12	1349	Jägerstraße	1	 07.20	 07.50	 08.20	 08.50	 09.20	 09.50	 10.20	 10.50	 11.20	 11.50	 12.20	 12.50	 13.20	 13.50	 14.20	 14.50	 15.20	 15.50	 16.20
13	1354	Blautal-Center	3	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.23	 11.53	 12.23	 12.53	 13.23	 13.53	 14.23	 14.53	 15.23	 15.53	 16.23
14	1218	Lupferbrücke	1	 07.25	 07.55	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.25	 11.55	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.25	 15.55	 16.25
15	1280	Beim Türmle	1	 07.26	 07.56	 08.26	 08.56	 09.26	 09.56	 10.26	 10.56	 11.26	 11.56	 12.26	 12.56	 13.26	 13.56	 14.26	 14.56	 15.26	 15.56	 16.26
16	1281	Stachelbeerweg	1	 07.26	 07.56	 08.26	 08.56	 09.26	 09.56	 10.26	 10.56	 11.26	 11.56	 12.26	 12.56	 13.26	 13.56	 14.26	 14.56	 15.26	 15.56	 16.26
17	1261	Traminerweg	1	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.27	 11.57	 12.27	 12.57	 13.27	 13.57	 14.27	 14.57	 15.27	 15.57	 16.27
18	1251	Kelternweg	1	 07.28	 07.58	 08.28	 08.58	 09.28	 09.58	 10.28	 10.58	 11.28	 11.58	 12.28	 12.58	 13.28	 13.58	 14.28	 14.58	 15.28	 15.58	 16.28
19	1200	Eselsberg Hasenkopf	1	 07.29	 07.59	 08.29	 08.59	 09.29	 09.59	 10.29	 10.59	 11.29	 11.59	 12.29	 12.59	 13.29	 13.59	 14.29	 14.59	 15.29	 15.59	 16.29
20	1240	Universität Süd	1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
