			Fahrtenschlüssel	06:04	06:32	07:02	07:32	08:02	08:32	09:02	09:32	10:02	10:32	11:02	11:32	12:02	12:32	13:02	13:32	14:02	14:32	15:02	15:32	16:02	16:32	17:02	17:32	18:02	18:32	19:02
			Verkehrsbeschränkung																											
			Hinweis																											
			Transportgefäßtyp	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
1	1240	Universität Süd	3	    -	 06.32	 07.02	 07.32	 08.02	 08.32	 09.02	 09.32	 10.02	 10.32	 11.02	 11.32	 12.02	 12.32	 13.02	 13.32	 14.02	 14.32	 15.02	 15.32	 16.02	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02
2	1200	Eselsberg Hasenkopf	4	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.34	 12.04	 12.34	 13.04	 13.34	 14.04	 14.34	 15.04	 15.34	 16.04	 16.34	 17.04	 17.34	 18.04	 18.34	 19.04
3	1251	Kelternweg	2	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.35	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.05	 15.35	 16.05	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05
4	1261	Traminerweg	2	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.36	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.06	 15.36	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06
5	1260	Ruländerweg	4	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.36	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.06	 15.36	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06
6	1281	Stachelbeerweg	2	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.37	 12.07	 12.37	 13.07	 13.37	 14.07	 14.37	 15.07	 15.37	 16.07	 16.37	 17.07	 17.37	 18.07	 18.37	 19.07
7	1280	Beim Türmle	2	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08
8	1218	Lupferbrücke	2	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.39	 12.09	 12.39	 13.09	 13.39	 14.09	 14.39	 15.09	 15.39	 16.09	 16.39	 17.09	 17.39	 18.09	 18.39	 19.09
9	1354	Blautal-Center	3	 06.11	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11	 16.41	 17.11	 17.41	 18.11	 18.41	 19.11
10	1349	Jägerstraße	2	 06.13	 06.43	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.43	 12.13	 12.43	 13.13	 13.43	 14.13	 14.43	 15.13	 15.43	 16.13	 16.43	 17.13	 17.43	 18.13	 18.43	 19.13
