				Fahrtenschlüssel	07:25	08:25	09:25
				Verkehrsbeschränkung			
				Hinweis			
				Transportgefäßtyp	10	10	10
1	1050	Willy-Brandt-Platz		1	 07.25	 08.25	 09.25
2	1058	Ostplatz		1	 07.27	 08.27	 09.27
3	1048	Örlinger Straße		1	 07.28	 08.28	 09.28
4	1059	Steinhövelstraße		1	 07.29	 08.29	 09.29
5	1060	Safranberg		1	 07.30	 08.30	 09.30
6	1061	Albecker Steige		1	 07.31	 08.31	 09.31
7	1079	Eichenplatz		1	 07.32	 08.32	 09.32
8	1078	Ludwig-Beck-Straße		1	 07.33	 08.33	 09.33
9	1087	Egertweg		1	 07.35	 08.35	 09.35
10	1160	Hörvelsinger Weg		1	 07.40	 08.40	 09.40
11	1241	Botanischer Garten		2	 07.46	 08.46	 09.46
12	1240	Universität Süd		2	 07.48	 08.48	 09.48
