				Fahrtenschlüssel	16:23	17:23	18:23
				Verkehrsbeschränkung			
				Hinweis			
				Transportgefäßtyp	10	10	10
1	1240	Universität Süd		1	 16.23	 17.23	 18.23
2	1241	Botanischer Garten		1	 16.25	 17.25	 18.25
3	1160	Hörvelsinger Weg		2	 16.30	 17.30	 18.30
4	1087	Egertweg		1	 16.34	 17.34	 18.34
5	1078	Ludwig-Beck-Straße		2	 16.37	 17.37	 18.37
6	1079	Eichenplatz		2	 16.38	 17.38	 18.38
7	1060	Safranberg		2	 16.40	 17.40	 18.40
8	1059	Steinhövelstraße		2	 16.42	 17.42	 18.42
9	1058	Ostplatz		2	 16.44	 17.44	 18.44
10	1050	Willy-Brandt-Platz		2	 16.47	 17.47	 18.47
