				Fahrtenschlüssel	07:05	07:07	07:23	07:25	07:27	07:31	07:33	07:35	07:37	07:39	07:41	07:43	07:48	07:54
				Verkehrsbeschränkung														
				Hinweis	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss
				Transportgefäßtyp	10	10	10	10	10	30	62	10	31	30	31	42	10	10
				Umlaufnummer	423	404	1662	1665	1003	1696	1694	422	1695	1699	1697	1698	423	404
1	1765	Hasenweg		1	 07.05	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
2	1766	Katholische Kirche		1	 07.06	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
3	1767	Allgäuer Straße		1	 07.08	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
4	1768	Hafnerweg		1	 07.09	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
5	1769	Reichenberger Straße		1	 07.10	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
6	1772	Danziger Straße		1	 07.11	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
7	1727	Wiley Süd		1	 07.13	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
8	1743	Neue Hochschule		1	 07.14	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
9	1725	Edisoncenter		1	 07.15	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
10	1742	Dietrich-Kino		1	 07.17	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
11	1724	Memminger Straße		1	 07.17	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
12	1741	Fachoberschule		1	 07.18	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
13	1700	ZUP		3	 07.20	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
14	1710	Rathaus Neu-Ulm		1	 07.21	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
15	1708	Petrusplatz		1	 07.23	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
16	1015	Herdbruckerstraße		1	 07.24	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
17	1002	Rathaus Ulm		2	 07.25	    -	    -	 07.25	    -	    -	 07.29	    -	    -	    -	    -	    -	    -	    -
18	1001	Steinerne Brücke		2	 07.27	    -	    -	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -
19	1008	Hauptbahnhof		1	 07.29	    -	    -	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -
20	1011	Justizgebäude		2	    $	    -	    -	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -
21	1049	Congress Centrum		1	    $	    -	    -	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -
22	1010	Theater		1	 07.31	    -	    -	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -
23	1011	Justizgebäude		1	 07.32	    -	    -	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -
