				Fahrtenschlüssel	06:57	07:04	07:08	07:14	07:20	12:17	12:25	12:59	13:01	13:02	13:07	13:15	15:25	15:27	15:47	15:49	15:56
				Verkehrsbeschränkung																	
				Hinweis	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	St	St	St	St	St
				Transportgefäßtyp	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
				Umlaufnummer	1660	1661	1662	1663	1664	404	405	404	405	1666	411	422	1502	1669	1502	1670	1669
1	1257	Söflinger Weinberge		2	 06.57	 07.04	    -	    -	 07.20	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
2	1256	Virchowstraße		2	 06.58	 07.05	    -	    -	 07.21	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
3	1255	Heilmeyersteige		2	 06.59	 07.06	    -	    -	 07.22	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
4	1266	Ehrensteiner Feld		2	 07.00	 07.07	    -	    -	 07.23	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
5	1265	Veltlinerweg		2	 07.01	 07.08	    -	    -	 07.24	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
6	1260	Ruländerweg		2	 07.02	 07.09	    -	    -	 07.25	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
7	1281	Stachelbeerweg		2	 07.03	 07.10	    -	    -	 07.26	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
8	1210	Burgunderweg		2	 07.04	    $	    -	    -	 07.27	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
9	1202	Multscherschule		2	 07.06	    $	    -	    -	 07.29	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
10	1232	Lehrer Tal		2	 07.07	    $	    -	    -	 07.30	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
11	1039	Kienlesberg		2	    $	    $	    -	    -	 07.32	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
12	1010	Theater		4	    $	    $	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
13	1050	Willy-Brandt-Platz		2	    $	    $	    -	    -	    $	    -	    -	    -	 12.59	    -	    -	    -	    -	    -	    -	    -	    -
14	1011	Justizgebäude		2	    $	    $	    -	    -	    $	    -	    -	 12.59	 13.01	    -	    -	    -	    -	    -	    -	    -	    -
15	1010	Theater		2	    $	    $	    -	    -	 07.34	    -	    -	 13.00	 13.02	    -	    -	    -	    -	    -	    -	    -	    -
16	1008	Hauptbahnhof		2	    $	    $	    -	    -	 07.36	    -	    -	 13.02	 13.04	    -	    -	    -	    -	    -	    -	    -	    -
17	1350	Ehinger Tor		4	    $	    $	    -	    -	    $	    -	    -	 13.05	 13.07	    -	    -	    -	    -	    -	    -	    -	    -
18	1350	Ehinger Tor		2	    $	    $	    -	    -	    $	    -	    -	    -	 13.07	    -	    -	    -	    -	    -	    -	    -	    -
19	1351	Blücherstraße		2	    $	    $	    -	    -	    $	    -	    -	    -	 13.09	    -	    -	    -	    -	    -	    -	    -	    -
20	1352	Westplatz		2	    $	    $	    -	    -	    $	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
21	1001	Steinerne Brücke		1	    $	    $	    -	    -	 07.39	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
22	1002	Rathaus Ulm		1	    $	    $	    -	    -	 07.40	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
23	1005	Haus der Begegnung		2	    $	    $	    -	    -	 07.41	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
24	1006	Gänsturm		2	    $	    $	    -	    -	 07.42	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
25	1049	Congress Centrum		2	    $	    $	    -	    -	 07.43	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
26	1280	Beim Türmle		2	    $	 07.11	    -	    -	    -	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
27	1218	Lupferbrücke		2	    $	 07.12	    -	    -	    -	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
28	1220	Bahnhof Söflingen		2	    $	 07.13	    -	    -	    -	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
29	1222	Beringerbrücke		2	    $	 07.14	    -	    -	    -	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
30	1362	Telefunken		1	 07.11	 07.19	    -	    -	    -	    -	    -	    -	    $	    -	    -	    -	    -	    -	    -	    -	    -
31	1352	Westplatz		3	 07.13	 07.21	    -	    -	    -	    -	    -	    -	 13.10	    -	    -	    -	    -	    -	    -	    -	    -
32	1353	Magirusstraße		2	 07.15	 07.23	    -	    -	    -	    -	    -	    -	 13.11	    -	    -	    -	    -	    -	    -	    -	    -
33	1311	Königstraße		2	 07.16	 07.24	    -	    -	    -	    -	    -	    -	 13.12	    -	    -	    -	    -	    -	    -	    -	    -
34	1310	Sonnenstraße		2	 07.17	 07.25	    -	    -	    -	    -	    -	    -	 13.13	    -	    -	    -	    -	    -	    -	    -	    -
35	1300	Söflingen		2	 07.20	 07.28	    -	    -	    -	    -	    -	    -	 13.16	    -	    -	    -	    -	    -	    -	    -	    -
36	1331	Auf der Laue		1	 07.21	 07.29	    -	    -	    -	    -	    -	    -	 13.17	    -	    -	    -	    -	    -	    -	    -	    -
37	1332	Maienweg		1	 07.21	 07.29	    -	    -	    -	    -	    -	    -	 13.17	    -	    -	    -	    -	    -	    -	    -	    -
38	1323	Gleißelstetten		1	    $	    $	 07.08	    -	    -	    -	    -	    -	 13.18	    -	    -	    -	    -	    -	    -	    -	    -
39	1332	Maienweg		2	    $	    $	 07.08	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
40	1310	Sonnenstraße		1	    $	    $	 07.11	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
41	1323	Gleißelstetten		2	 07.22	 07.30	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
42	1620	Erenlauh		1	    $	    $	    -	 07.14	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
43	1621	Fischerhauser Weg		1	    $	    $	    -	 07.15	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
44	1605	Kapelle		1	    $	    $	    -	 07.17	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
45	1601	Oberer Wirt		1	    $	    $	    -	 07.19	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
46	1602	Alte Siedlung		1	    $	    $	    -	 07.20	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
47	1631	St.-Gallener-Straße		1	    $	    $	    -	 07.22	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
48	1632	Kemptener Straße		1	    $	    $	    -	 07.23	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
49	1633	Saulgauer Straße		1	    $	    $	    -	 07.24	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
50	1634	Tannenplatz Zentrum		1	    $	    $	    -	 07.25	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
51	1635	Reutlinger Straße		1	    $	    $	    -	 07.26	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
52	1590	Kastbrücke		1	    $	    $	    -	 07.30	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
53	1591	Am Sandhaken		1	    $	    $	    -	 07.31	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
54	1534	Voithstraße		1	    $	    $	    -	 07.32	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
55	1500	Steinbeisstraße		1	    $	    $	    -	 07.33	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
56	1507	Boschstraße		1	    $	    $	    -	 07.34	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
57	1390	Kuhberg Schulzentrum		1	 07.26	 07.34	    -	 07.39	    -	 12.17	 12.25	    -	    -	    -	 13.07	 13.15	 15.25	 15.27	    -	 15.46	 15.56
58	1383	Gewerbeschulen Königstraße		1	 07.28	 07.36	    -	 07.41	    -	 12.19	 12.27	    -	    -	    -	 13.09	 13.17	 15.27	 15.29	    -	 15.48	 15.58
