				Fahrtenschl¸ssel	05:47	06:07	06:27	06:47	07:27	07:47	08:07	08:27	08:47	09:27	09:47	10:27	10:47	11:27	11:47	12:27
				Verkehrsbeschr‰nkung																
				Hinweis																
				Transportgef‰ﬂtyp	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
1	1551	Haltepunkt Donautal		2	 05.45	 06.05	 06.25	 06.45	 07.25	 07.45	 08.05	 08.25	 08.45	 09.25	 09.45	 10.25	 10.45	 11.25	 11.45	 12.25
2	1555	Firma Wieland		2	 05.47	 06.07	 06.27	 06.47	 07.27	 07.47	 08.07	 08.27	 08.47	 09.27	 09.47	 10.27	 10.47	 11.27	 11.47	 12.27
3	1561	Graf-Arco-Straﬂe		3	 05.48	 06.08	 06.28	 06.48	 07.28	 07.48	 08.08	 08.28	 08.48	 09.28	 09.48	 10.28	 10.48	 11.28	 11.48	 12.28
4	1549	Fa. Merckle / Ratiopharm		2	 05.49	 06.09	 06.29	 06.49	 07.29	 07.49	 08.09	 08.29	 08.49	 09.29	 09.49	 10.29	 10.49	 11.29	 11.49	 12.29
5	1548	Firma Meiller		2	 05.50	 06.10	 06.30	 06.50	 07.30	 07.50	 08.10	 08.30	 08.50	 09.30	 09.50	 10.30	 10.50	 11.30	 11.50	 12.30
6	1586	DEUTZ AG		2	 05.51	 06.11	 06.31	 06.51	 07.31	 07.51	 08.11	 08.31	 08.51	 09.31	 09.51	 10.31	 10.51	 11.31	 11.51	 12.31
7	1574	IVECO		2	 05.52	 06.12	 06.32	 06.52	 07.32	 07.52	 08.12	 08.32	 08.52	 09.32	 09.52	 10.32	 10.52	 11.32	 11.52	 12.32
8	1552	Firma Rheinzink		2	 05.53	 06.13	 06.33	 06.53	 07.33	 07.53	 08.13	 08.33	 08.53	 09.33	 09.53	 10.33	 10.53	 11.33	 11.53	 12.33
9	1554	Firma UPS		2	 05.53	 06.13	 06.33	 06.53	 07.33	 07.53	 08.13	 08.33	 08.53	 09.33	 09.53	 10.33	 10.53	 11.33	 11.53	 12.33
10	1539	Ernst-Abbe-Straﬂe		1	 05.54	 06.14	 06.34	 06.54	 07.34	 07.54	 08.14	 08.34	 08.54	 09.34	 09.54	 10.34	 10.54	 11.34	 11.54	 12.34
11	1540	Hans-Lorenser-Straﬂe		1	 05.55	 06.15	 06.35	 06.55	 07.35	 07.55	 08.15	 08.35	 08.55	 09.35	 09.55	 10.35	 10.55	 11.35	 11.55	 12.35
12	1544	Firma Sanacorp		2	 05.57	 06.17	 06.37	 06.57	 07.37	 07.57	 08.17	 08.37	 08.57	 09.37	 09.57	 10.37	 10.57	 11.37	 11.57	 12.37
13	1594	Firma Seeberger		1	 05.58	 06.18	 06.38	 06.58	 07.38	 07.58	 08.18	 08.38	 08.58	 09.38	 09.58	 10.38	 10.58	 11.38	 11.58	 12.38
14	1532	Siemensstraﬂe		1	 05.59	 06.19	 06.39	 06.59	 07.39	 07.59	 08.19	 08.39	 08.59	 09.39	 09.59	 10.39	 10.59	 11.39	 11.59	 12.39
15	1534	Voithstraﬂe		1	 06.00	 06.20	 06.40	 07.00	 07.40	 08.00	 08.20	 08.40	 09.00	 09.40	 10.00	 10.40	 11.00	 11.40	 12.00	 12.40
16	1500	Steinbeisstraﬂe		1	 06.01	 06.21	 06.41	 07.01	 07.41	 08.01	 08.21	 08.41	 09.01	 09.41	 10.01	 10.41	 11.01	 11.41	 12.01	 12.41
17	1501	Liststraﬂe		1	 06.02	 06.22	 06.42	 07.02	 07.42	 08.02	 08.22	 08.42	 09.02	 09.42	 10.02	 10.42	 11.02	 11.42	 12.02	 12.42
18	1550	Firma Nanz		1	 06.03	 06.23	 06.43	 07.03	 07.43	 08.03	 08.23	 08.43	 09.03	 09.43	 10.03	 10.43	 11.03	 11.43	 12.03	 12.43
19	1506	Benzstraﬂe		1	 06.03	 06.23	 06.43	 07.03	 07.43	 08.03	 08.23	 08.43	 09.03	 09.43	 10.03	 10.43	 11.03	 11.43	 12.03	 12.43
20	1551	Haltepunkt Donautal		4	 06.04	 06.24	 06.44	 07.04	 07.44	 08.04	 08.24	 08.44	 09.04	 09.44	 10.04	 10.44	 11.04	 11.44	 12.04	 12.44
