				Fahrtenschl¸ssel	12:55	13:15	13:55	14:15	14:55	15:15	15:55	16:15	16:55	17:15	17:55	18:15
				Verkehrsbeschr‰nkung												
				Hinweis												
				Transportgef‰ﬂtyp	41	41	41	41	41	41	41	41	41	41	41	41
1	1551	Haltepunkt Donautal		1	 12.54	 13.14	 13.54	 14.14	 14.54	 15.14	 15.54	 16.14	 16.54	 17.14	 17.54	 18.14
2	1506	Benzstraﬂe		2	 12.55	 13.15	 13.55	 14.15	 14.55	 15.15	 15.55	 16.15	 16.55	 17.15	 17.55	 18.15
3	1550	Firma Nanz		2	 12.55	 13.15	 13.55	 14.15	 14.55	 15.15	 15.55	 16.15	 16.55	 17.15	 17.55	 18.15
4	1501	Liststraﬂe		2	 12.56	 13.16	 13.56	 14.16	 14.56	 15.16	 15.56	 16.16	 16.56	 17.16	 17.56	 18.16
5	1500	Steinbeisstraﬂe		2	 12.57	 13.17	 13.57	 14.17	 14.57	 15.17	 15.57	 16.17	 16.57	 17.17	 17.57	 18.17
6	1534	Voithstraﬂe		2	 12.58	 13.18	 13.58	 14.18	 14.58	 15.18	 15.58	 16.18	 16.58	 17.18	 17.58	 18.18
7	1532	Siemensstraﬂe		2	 12.59	 13.19	 13.59	 14.19	 14.59	 15.19	 15.59	 16.19	 16.59	 17.19	 17.59	 18.19
8	1544	Firma Sanacorp		2	 13.00	 13.20	 14.00	 14.20	 15.00	 15.20	 16.00	 16.20	 17.00	 17.20	 18.00	 18.20
9	1594	Firma Seeberger		1	 13.01	 13.21	 14.01	 14.21	 15.01	 15.21	 16.01	 16.21	 17.01	 17.21	 18.01	 18.21
10	1540	Hans-Lorenser-Straﬂe		2	 13.03	 13.23	 14.03	 14.23	 15.03	 15.23	 16.03	 16.23	 17.03	 17.23	 18.03	 18.23
11	1539	Ernst-Abbe-Straﬂe		2	 13.04	 13.24	 14.04	 14.24	 15.04	 15.24	 16.04	 16.24	 17.04	 17.24	 18.04	 18.24
12	1554	Firma UPS		1	 13.04	 13.24	 14.04	 14.24	 15.04	 15.24	 16.04	 16.24	 17.04	 17.24	 18.04	 18.24
13	1552	Firma Rheinzink		1	 13.05	 13.25	 14.05	 14.25	 15.05	 15.25	 16.05	 16.25	 17.05	 17.25	 18.05	 18.25
14	1574	IVECO		1	 13.06	 13.26	 14.06	 14.26	 15.06	 15.26	 16.06	 16.26	 17.06	 17.26	 18.06	 18.26
15	1586	DEUTZ AG		1	 13.07	 13.27	 14.07	 14.27	 15.07	 15.27	 16.07	 16.27	 17.07	 17.27	 18.07	 18.27
16	1548	Firma Meiller		1	 13.08	 13.28	 14.08	 14.28	 15.08	 15.28	 16.08	 16.28	 17.08	 17.28	 18.08	 18.28
17	1549	Fa. Merckle / Ratiopharm		1	 13.09	 13.29	 14.09	 14.29	 15.09	 15.29	 16.09	 16.29	 17.09	 17.29	 18.09	 18.29
18	1555	Firma Wieland		2	 13.10	 13.30	 14.10	 14.30	 15.10	 15.30	 16.10	 16.30	 17.10	 17.30	 18.10	 18.30
19	1561	Graf-Arco-Straﬂe		1	 13.11	 13.31	 14.11	 14.31	 15.11	 15.31	 16.11	 16.31	 17.11	 17.31	 18.11	 18.31
20	1551	Haltepunkt Donautal		3	 13.13	 13.33	 14.13	 14.33	 15.13	 15.33	 16.13	 16.33	 17.13	 17.33	 18.13	 18.33
