		Fahrtenschl¸ssel	05:39	06:39	07:41	07:43	08:31	08:39	09:41	09:43	13:19	14:19	15:19	15:53	16:19	16:48	17:19
		Verkehrsbeschr‰nkung															
		Hinweis	Ar	Ar	Zi	Ar	Zi	Ar	Zi	Ar	As	As	As	Zi	As	Zi	As
		Transportgef‰ﬂtyp	31	31	31	31	31	31	31	31	11	11	11	31	11	31	11
1	1134	Wendeschleife	    -	    -	 07.41	    -	 08.31	    -	 09.41	    -	    -	    -	    -	 15.53	    -	 16.48	    -
2	1133	Rathaus	    -	    -	 07.43	    -	 08.33	    -	 09.43	    -	    -	    -	    -	 15.55	    -	 16.50	    -
3	1132	Alte Straﬂe	    -	    -	 07.44	    -	 08.34	    -	 09.44	    -	    -	    -	    -	 15.56	    -	 16.51	    -
4	1167	Donau-Iller-Werkst.	 05.39	 06.39	    $	 07.39	    $	 08.39	    $	 09.39	 13.19	 14.19	 15.19	    $	 16.19	    $	 17.19
5	1164	Schwarzenbergstraﬂe	 05.40	 06.40	    $	 07.40	    $	 08.40	    $	 09.40	 13.20	 14.20	 15.20	    $	 16.20	    $	 17.20
6	1165	Fichtenstraﬂe	 05.41	 06.41	    $	 07.41	    $	 08.41	    $	 09.41	 13.21	 14.21	 15.21	    $	 16.21	    $	 17.21
7	1166	Gehrnstraﬂe	 05.42	 06.42	    $	 07.42	    $	 08.42	    $	 09.42	 13.22	 14.22	 15.22	    $	 16.22	    $	 17.22
8	1163	Rathaus Jungingen	 05.44	 06.44	    $	 07.44	    $	 08.44	    $	 09.44	 13.24	 14.24	 15.24	    $	 16.24	    $	 17.24
9	1103	Junginger Straﬂe	 05.47	 06.47	    $	 07.47	    $	 08.47	    $	 09.47	 13.27	 14.27	 15.27	    $	 16.27	    $	 17.27
10	1102	Loherstraﬂe	 05.49	 06.49	 07.46	 07.49	 08.36	 08.49	 09.46	 09.49	 13.29	 14.29	 15.29	 15.58	 16.29	 16.53	 17.29
11	1241	Botanischer Garten	    $	    $	 07.48	 07.51	 08.38	 08.51	 09.48	 09.51	 13.31	 14.31	 15.31	 16.00	 16.31	 16.55	 17.31
12	1240	Universit‰t S¸d	    $	    $	 07.50	 07.53	 08.40	 08.53	 09.50	 09.53	 13.33	 14.33	 15.33	 16.02	 16.33	 16.57	 17.33
13	1244	Staudingerstraﬂe	 05.53	 06.53	    $	    -	    $	    -	    $	    -	    -	    -	    -	    $	    -	    $	    -
14	1245	Kliniken Wissenschaftsstadt	 05.54	 06.54	    $	    -	    $	    -	    $	    -	    -	    -	    -	    $	    -	    $	    -
15	1246	Universit‰t West	 05.55	 06.55	    $	    -	    $	    -	    $	    -	    -	    -	    -	    $	    -	    $	    -
16	1247	Wilhelm-Runge-Straﬂe	 05.56	 06.56	    $	    -	    $	    -	    $	    -	    -	    -	    -	    $	    -	    $	    -
17	1200	Eselsberg Hasenkopf	    -	    -	 07.52	    -	 08.42	    -	 09.52	    -	    -	    -	    -	 16.04	    -	 16.59	    -
18	1201	Fort Unterer Eselsberg	    -	    -	 07.53	    -	 08.43	    -	 09.53	    -	    -	    -	    -	 16.05	    -	 17.00	    -
19	1202	Multscherschule	    -	    -	 07.54	    -	 08.44	    -	 09.54	    -	    -	    -	    -	 16.06	    -	 17.01	    -
20	1232	Lehrer Tal	    -	    -	 07.56	    -	 08.46	    -	 09.56	    -	    -	    -	    -	 16.08	    -	 17.03	    -
21	1039	Kienlesberg	    -	    -	 07.57	    -	 08.47	    -	 09.57	    -	    -	    -	    -	 16.09	    -	 17.04	    -
22	1010	Theater	    -	    -	 08.00	    -	 08.50	    -	 10.00	    -	    -	    -	    -	 16.12	    -	 17.07	    -
23	1000	ZOB	    -	    -	 08.02	    -	 08.52	    -	 10.02	    -	    -	    -	    -	 16.14	    -	 17.09	    -
