		Fahrtenschl¸ssel	06:04	07:04	07:55	08:05	08:23	08:55	09:15	13:45	14:45	15:45	16:00	16:45	17:00	17:45
		Verkehrsbeschr‰nkung														
		Hinweis	Ar	Ar	Ar	Zi	Zi	Ar	Zi	As	As	As	Zi	As	Zi	As
		Transportgef‰ﬂtyp	31	31	31	31	31	31	31	11	11	11	31	11	31	11
1	1000	ZOB	    -	    -	    -	 08.05	 08.23	    -	 09.15	    -	    -	    -	 16.00	    -	 17.00	    -
2	1008	Hauptbahnhof	    -	    -	    -	 08.07	 08.25	    -	 09.17	    -	    -	    -	 16.02	    -	 17.02	    -
3	1010	Theater	    -	    -	    -	 08.09	 08.27	    -	 09.19	    -	    -	    -	 16.04	    -	 17.04	    -
4	1039	Kienlesberg	    -	    -	    -	 08.11	 08.29	    -	 09.21	    -	    -	    -	 16.06	    -	 17.06	    -
5	1232	Lehrer Tal	    -	    -	    -	 08.13	 08.31	    -	 09.23	    -	    -	    -	 16.08	    -	 17.08	    -
6	1202	Multscherschule	    -	    -	    -	 08.15	 08.33	    -	 09.25	    -	    -	    -	 16.10	    -	 17.10	    -
7	1201	Fort Unterer Eselsberg	    -	    -	    -	 08.16	 08.34	    -	 09.26	    -	    -	    -	 16.11	    -	 17.11	    -
8	1200	Eselsberg Hasenkopf	    -	    -	    -	 08.18	 08.36	    -	 09.28	    -	    -	    -	 16.13	    -	 17.13	    -
9	1247	Wilhelm-Runge-Straﬂe	 06.04	 07.04	    -	    $	    $	    -	    $	    -	    -	    -	    $	    -	    $	    -
10	1246	Universit‰t West	 06.05	 07.05	    -	    $	    $	    -	    $	    -	    -	    -	    $	    -	    $	    -
11	1245	Kliniken Wissenschaftsstadt	 06.06	 07.06	    -	    $	    $	    -	    $	    -	    -	    -	    $	    -	    $	    -
12	1244	Staudingerstraﬂe	 06.07	 07.07	    -	    $	    $	    -	    $	    -	    -	    -	    $	    -	    $	    -
13	1240	Universit‰t S¸d	    $	    $	 07.55	 08.20	 08.38	 08.55	 09.30	 13.45	 14.45	 15.45	 16.15	 16.45	 17.15	 17.45
14	1241	Botanischer Garten	    $	    $	 07.57	 08.22	 08.40	 08.57	 09.32	 13.47	 14.47	 15.47	 16.17	 16.47	 17.17	 17.47
15	1102	Loherstraﬂe	 06.10	 07.10	 08.00	    $	    $	 09.00	    $	 13.50	 14.50	 15.50	    $	 16.50	    $	 17.50
16	1103	Junginger Straﬂe	 06.12	 07.12	 08.02	    $	    $	 09.02	    $	 13.52	 14.52	 15.52	    $	 16.52	    $	 17.52
17	1163	Rathaus Jungingen	 06.15	 07.15	 08.05	    $	    $	 09.05	    $	 13.55	 14.55	 15.55	    $	 16.55	    $	 17.55
18	1166	Gehrnstraﬂe	 06.17	 07.17	 08.07	    $	    $	 09.07	    $	 13.57	 14.57	 15.57	    $	 16.57	    $	 17.57
19	1165	Fichtenstraﬂe	 06.18	 07.18	 08.08	    $	    $	 09.08	    $	 13.58	 14.58	 15.58	    $	 16.58	    $	 17.58
20	1164	Schwarzenbergstraﬂe	 06.19	 07.19	 08.09	    $	    $	 09.09	    $	 13.59	 14.59	 15.59	    $	 16.59	    $	 17.59
21	1167	Donau-Iller-Werkst.	 06.21	 07.21	 08.11	    $	    $	 09.11	    $	 14.01	 15.01	 16.01	    $	 17.01	    $	 18.01
22	1101	M‰hringer Straﬂe	    -	    -	    -	    $	 08.43	    -	 09.35	    -	    -	    -	 16.20	    -	 17.20	    -
23	1132	Alte Straﬂe	    -	    -	    -	 08.25	 08.45	    -	 09.37	    -	    -	    -	 16.22	    -	 17.22	    -
24	1133	Rathaus	    -	    -	    -	 08.26	 08.46	    -	 09.38	    -	    -	    -	 16.23	    -	 17.23	    -
25	1134	Wendeschleife	    -	    -	    -	 08.27	 08.47	    -	 09.39	    -	    -	    -	 16.24	    -	 17.24	    -
