		Fahrtenschlüssel	25:30	26:30	27:30
		Verkehrsbeschränkung			
		Hinweis			
		Transportgefäßtyp	20	20	20
1	1000	ZOB	 25.30	 26.30	 27.30
2	1001	Steinerne Brücke	 25.33	 26.33	 27.33
3	1002	Rathaus Ulm	 25.35	 26.35	 27.35
4	1015	Herdbruckerstraße	 25.36	 26.36	 27.36
5	1708	Petrusplatz	 25.37	 26.37	 27.37
6	1710	Rathaus Neu-Ulm	 25.37	 26.37	 27.37
7	1700	ZUP	 25.38	 26.38	 27.38
8	1729	Meininger Allee	 25.39	 26.39	 27.39
9	1719	Waldeck	 25.40	 26.40	 27.40
10	1864	Mutschler	 25.42	 26.42	 27.42
11	1871	Lessingstraße	 25.43	 26.43	 27.43
12	1906	Offenhausen, Roseggerstraße	 25.45	 26.45	 27.45
13	1903	Offenhausen, Ortsstraße	 25.46	 26.46	 27.46
14	1904	Offenhausen, Grundweg	 25.47	 26.47	 27.47
15	1938	Pfuhl, Stauffenbergstraße	 25.48	 26.48	 27.48
16	1939	Pfuhl, Trissinoplatz	 25.48	 26.48	 27.48
17	1937	Pfuhl, Platzgasse	 25.49	 26.49	 27.49
18	1936	Pfuhl, Altes Rathaus	 25.50	 26.50	 27.50
19	1940	Pfuhl, Winterstraße	 25.51	 26.51	 27.51
20	1942	Pfuhl, Schulzentrum	 25.52	 26.52	 27.52
21	1964	Burlafingen, Glöcklerstraße	 25.53	 26.53	 27.53
22	1962	Burlafingen, Dorfplatz	 25.54	 26.54	 27.54
23	1968	Burlafingen, Schule	 25.55	 26.55	 27.55
24	1961	Burlafingen, Bahnhof	 25.56	 26.56	 27.56
