		Fahrtenschlüssel	26:01	27:01	28:01
		Verkehrsbeschränkung			
		Hinweis			
		Transportgefäßtyp	11	11	11
1	1602	Alte Siedlung	 26.01	 27.01	 28.01
2	1631	St.-Gallener-Straße	 26.02	 27.02	 28.02
3	1632	Kemptener Straße	 26.03	 27.03	 28.03
4	1633	Saulgauer Straße	 26.03	 27.03	 28.03
5	1634	Tannenplatz Zentrum	 26.04	 27.04	 28.04
6	1635	Reutlinger Straße	 26.05	 27.05	 28.05
7	1620	Erenlauh	 26.06	 27.06	 28.06
8	1621	Fischerhauser Weg	 26.07	 27.07	 28.07
9	1605	Kapelle	 26.08	 27.08	 28.08
10	1600	Pranger	 26.10	 27.10	 28.10
11	1608	Ostermahdweg	 26.11	 27.11	 28.11
12	1704	Illerbrücke	 26.12	 27.12	 28.12
13	1703	Jakobsruhe	 26.14	 27.14	 28.14
14	1702	Donaubad	 26.15	 27.15	 28.15
15	1701	Adenauerbrücke	 26.16	 27.16	 28.16
16	1350	Ehinger Tor	 26.20	 27.20	 28.20
17	1000	ZOB	 26.23	 27.23	 28.23
