			Fahrtenschlüssel	04:58	05:18	05:34	06:04	06:34	07:04	07:34	08:04	08:34	09:04	09:34	10:04	10:34	10:59	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:38	13:52	13:58	14:08	14:18	14:28	14:38	14:48	14:58	15:08	15:18	15:28	15:38	15:48	15:58	16:08	16:18	16:28	16:38	16:48	16:58	17:08	17:18	17:28	17:38	17:48	17:58	18:08	18:18	18:28	18:42	18:57	19:12	19:27	19:42	20:04	20:34	21:04	21:34	22:04	22:34	23:04	23:34	24:04	24:34
			Verkehrsbeschränkung																																																																					
			Hinweis																																																																					Fb
1	1300	Söflingen	11	    -	    -	 05.34	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 10.59	 11.12	 11.27	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.38	    -	 13.58	 14.08	 14.18	 14.28	 14.38	 14.48	 14.58	 15.08	 15.18	 15.28	 15.38	 15.48	 15.58	 16.08	 16.18	 16.28	 16.38	 16.48	 16.58	 17.08	 17.18	 17.28	 17.38	 17.48	 17.58	 18.08	 18.18	 18.28	 18.42	 18.57	 19.12	 19.27	 19.42	 20.04	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	 24.34
2	1310	Sonnenstraße	11	    -	    -	 05.35	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.00	 11.13	 11.28	 11.43	 11.58	 12.13	 12.28	 12.43	 12.58	 13.13	 13.28	 13.39	    -	 13.59	 14.09	 14.19	 14.29	 14.39	 14.49	 14.59	 15.09	 15.19	 15.29	 15.39	 15.49	 15.59	 16.09	 16.19	 16.29	 16.39	 16.49	 16.59	 17.09	 17.19	 17.29	 17.39	 17.49	 17.59	 18.09	 18.19	 18.29	 18.43	 18.58	 19.13	 19.28	 19.43	 20.05	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35
3	1311	Königstraße	11	    -	    -	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.01	 11.14	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.40	    -	 14.00	 14.10	 14.20	 14.30	 14.40	 14.50	 15.00	 15.10	 15.20	 15.30	 15.40	 15.50	 16.00	 16.10	 16.20	 16.30	 16.40	 16.50	 17.00	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00	 18.10	 18.20	 18.30	 18.44	 18.59	 19.14	 19.29	 19.44	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
4	1353	Magirusstraße	11	    -	    -	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.01	 11.14	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.40	    -	 14.00	 14.10	 14.20	 14.30	 14.40	 14.50	 15.00	 15.10	 15.20	 15.30	 15.40	 15.50	 16.00	 16.10	 16.20	 16.30	 16.40	 16.50	 17.00	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00	 18.10	 18.20	 18.30	 18.44	 18.59	 19.14	 19.29	 19.44	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
5	1352	Westplatz	11	 04.58	 05.18	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.03	 11.16	 11.31	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.42	 13.52	 14.02	 14.12	 14.22	 14.32	 14.42	 14.52	 15.02	 15.12	 15.22	 15.32	 15.42	 15.52	 16.02	 16.12	 16.22	 16.32	 16.42	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22	 18.32	 18.46	 19.01	 19.16	 19.31	 19.46	 20.08	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38
6	1351	Blücherstraße	11	 04.59	 05.19	 05.39	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.04	 11.17	 11.32	 11.47	 12.02	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.43	 13.53	 14.03	 14.13	 14.23	 14.33	 14.43	 14.53	 15.03	 15.13	 15.23	 15.33	 15.43	 15.53	 16.03	 16.13	 16.23	 16.33	 16.43	 16.53	 17.03	 17.13	 17.23	 17.33	 17.43	 17.53	 18.03	 18.13	 18.23	 18.33	 18.47	 19.02	 19.17	 19.32	 19.47	 20.09	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.39
7	1350	Ehinger Tor	11	 05.02	 05.22	 05.42	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.07	 11.20	 11.35	 11.50	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.46	 13.56	 14.06	 14.16	 14.26	 14.36	 14.46	 14.56	 15.06	 15.16	 15.26	 15.36	 15.46	 15.56	 16.06	 16.16	 16.26	 16.36	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16	 18.26	 18.36	 18.50	 19.05	 19.20	 19.35	 19.50	 20.12	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
8	1008	Hauptbahnhof	11	 05.05	 05.25	 05.45	 06.15	 06.45	 07.15	 07.45	 08.15	 08.45	 09.15	 09.45	 10.15	 10.45	 11.10	 11.23	 11.38	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 13.49	 13.59	 14.09	 14.19	 14.29	 14.39	 14.49	 14.59	 15.09	 15.19	 15.29	 15.39	 15.49	 15.59	 16.09	 16.19	 16.29	 16.39	 16.49	 16.59	 17.09	 17.19	 17.29	 17.39	 17.49	 17.59	 18.09	 18.19	 18.29	 18.39	 18.53	 19.08	 19.23	 19.38	 19.53	 20.15	 20.45	 21.15	 21.45	 22.15	 22.45	 23.15	 23.45	 24.15	 24.45
9	1010	Theater	11	 05.07	 05.27	 05.47	 06.17	 06.47	 07.17	 07.47	 08.17	 08.47	 09.17	 09.47	 10.17	 10.47	 11.12	 11.25	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.51	 14.01	 14.11	 14.21	 14.31	 14.41	 14.51	 15.01	 15.11	 15.21	 15.31	 15.41	 15.51	 16.01	 16.11	 16.21	 16.31	 16.41	 16.51	 17.01	 17.11	 17.21	 17.31	 17.41	 17.51	 18.01	 18.11	 18.21	 18.31	 18.41	 18.55	 19.10	 19.25	 19.40	 19.55	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17	 24.47
10	1011	Justizgebäude	11	 05.08	 05.28	 05.48	 06.18	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.13	 11.26	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.52	 14.02	 14.12	 14.22	 14.32	 14.42	 14.52	 15.02	 15.12	 15.22	 15.32	 15.42	 15.52	 16.02	 16.12	 16.22	 16.32	 16.42	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22	 18.32	 18.42	 18.56	 19.11	 19.26	 19.41	 19.56	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18	 24.48
11	1050	Willy-Brandt-Platz	11	 05.11	 05.31	 05.51	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.16	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.55	 14.05	 14.15	 14.25	 14.35	 14.45	 14.54	 15.04	 15.14	 15.24	 15.34	 15.44	 15.54	 16.04	 16.14	 16.24	 16.34	 16.44	 16.54	 17.04	 17.14	 17.24	 17.34	 17.44	 17.54	 18.04	 18.14	 18.24	 18.34	 18.44	 18.59	 19.14	 19.29	 19.44	 19.59	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21	 24.51
12	1051	Staufenring	11	 05.12	 05.32	 05.52	 06.22	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	 11.17	 11.30	 11.45	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 13.45	 13.56	 14.06	 14.16	 14.26	 14.36	 14.46	 14.55	 15.05	 15.15	 15.25	 15.35	 15.45	 15.55	 16.05	 16.15	 16.25	 16.35	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05	 18.15	 18.25	 18.35	 18.45	 19.00	 19.15	 19.30	 19.45	 20.00	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22	 24.52
13	1052	Donaustadion	11	 05.13	 05.33	 05.53	 06.23	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.18	 11.31	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 13.57	 14.07	 14.17	 14.27	 14.37	 14.47	 14.56	 15.06	 15.16	 15.26	 15.36	 15.46	 15.56	 16.06	 16.16	 16.26	 16.36	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16	 18.26	 18.36	 18.46	 19.01	 19.16	 19.31	 19.46	 20.01	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23	 24.53
14	1053	Wohnpark Friedrichsau	11	 05.14	 05.34	 05.54	 06.24	 06.54	 07.24	 07.54	 08.24	 08.54	 09.24	 09.54	 10.24	 10.54	 11.19	 11.32	 11.47	 12.02	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.47	 13.58	 14.08	 14.18	 14.28	 14.38	 14.48	 14.57	 15.07	 15.17	 15.27	 15.37	 15.47	 15.57	 16.07	 16.17	 16.27	 16.37	 16.47	 16.57	 17.07	 17.17	 17.27	 17.37	 17.47	 17.57	 18.07	 18.17	 18.27	 18.37	 18.47	 19.02	 19.17	 19.32	 19.47	 20.02	 20.24	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24	 24.54
15	1054	Donauhalle	11	 05.15	 05.35	 05.55	 06.25	 06.55	 07.25	 07.55	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.20	 11.33	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 13.59	 14.09	 14.19	 14.29	 14.39	 14.49	 14.58	 15.08	 15.18	 15.28	 15.38	 15.48	 15.58	 16.08	 16.18	 16.28	 16.38	 16.48	 16.58	 17.08	 17.18	 17.28	 17.38	 17.48	 17.58	 18.08	 18.18	 18.28	 18.38	 18.48	 19.03	 19.18	 19.33	 19.48	 20.03	 20.25	 20.55	 21.25	 21.55	 22.25	 22.55	 23.25	 23.55	 24.25	 24.55
16	1080	Eugen-Bolz-Straße	11	 05.18	 05.38	 05.58	 06.28	 06.58	 07.28	 07.58	 08.28	 08.58	 09.28	 09.58	 10.28	 10.58	 11.23	 11.36	 11.51	 12.06	 12.21	 12.36	 12.51	 13.06	 13.21	 13.36	 13.51	 14.02	 14.12	 14.22	 14.32	 14.42	 14.52	 15.01	 15.11	 15.21	 15.31	 15.41	 15.51	 16.01	 16.11	 16.21	 16.31	 16.41	 16.51	 17.01	 17.11	 17.21	 17.31	 17.41	 17.51	 18.01	 18.11	 18.21	 18.31	 18.41	 18.51	 19.06	 19.21	 19.36	 19.51	 20.06	 20.28	 20.58	 21.28	 21.58	 22.28	 22.58	 23.28	 23.58	 24.28	 24.58
17	1083	Alfred-Delp-Weg	11	 05.19	 05.39	 05.59	 06.29	 06.59	 07.29	 07.59	 08.29	 08.59	 09.29	 09.59	 10.29	 10.59	 11.24	 11.37	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 13.52	 14.03	 14.13	 14.23	 14.33	 14.43	 14.53	 15.02	 15.12	 15.22	 15.32	 15.42	 15.52	 16.02	 16.12	 16.22	 16.32	 16.42	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22	 18.32	 18.42	 18.52	 19.07	 19.22	 19.37	 19.52	 20.07	 20.29	 20.59	 21.29	 21.59	 22.29	 22.59	 23.29	 23.59	 24.29	 24.59
18	1087	Egertweg	11	 05.21	 05.41	 06.01	 06.31	 07.01	 07.31	 08.01	 08.31	 09.01	 09.31	 10.01	 10.31	 11.01	 11.26	 11.39	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.05	 14.15	 14.25	 14.35	 14.45	 14.55	 15.03	 15.13	 15.23	 15.33	 15.43	 15.53	 16.03	 16.13	 16.23	 16.33	 16.43	 16.53	 17.03	 17.13	 17.23	 17.33	 17.43	 17.53	 18.03	 18.13	 18.23	 18.33	 18.43	 18.53	 19.09	 19.24	 19.39	 19.54	 20.09	 20.31	 21.01	 21.31	 22.01	 22.31	 23.01	 23.31	 24.01	 24.31	 25.01
19	1074	Haslacher Weg	11	 05.22	 05.42	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	 09.02	 09.32	 10.02	 10.32	 11.02	 11.27	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.55	 14.06	 14.16	 14.26	 14.36	 14.46	 14.56	 15.04	 15.14	 15.24	 15.34	 15.44	 15.54	 16.04	 16.14	 16.24	 16.34	 16.44	 16.54	 17.04	 17.14	 17.24	 17.34	 17.44	 17.54	 18.04	 18.14	 18.24	 18.34	 18.44	 18.54	 19.10	 19.25	 19.40	 19.55	 20.10	 20.32	 21.02	 21.32	 22.02	 22.32	 23.02	 23.32	 24.02	 24.32	 25.02
20	1073	Thüringenweg	11	 05.23	 05.43	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	 09.03	 09.33	 10.03	 10.33	 11.03	 11.28	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.07	 14.17	 14.27	 14.37	 14.47	 14.57	 15.05	 15.15	 15.25	 15.35	 15.45	 15.55	 16.05	 16.15	 16.25	 16.35	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05	 18.15	 18.25	 18.35	 18.45	 18.55	 19.11	 19.26	 19.41	 19.56	 20.11	 20.33	 21.03	 21.33	 22.03	 22.33	 23.03	 23.33	 24.03	 24.33	 25.03
21	1072	Mecklenburgweg	11	 05.24	 05.44	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.29	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.08	 14.18	 14.28	 14.38	 14.48	 14.58	 15.06	 15.16	 15.26	 15.36	 15.46	 15.56	 16.06	 16.16	 16.26	 16.36	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16	 18.26	 18.36	 18.46	 18.56	 19.12	 19.27	 19.42	 19.57	 20.12	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	 24.34	 25.04
22	1070	Ostpreußenweg	11	 05.26	 05.46	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.31	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.10	 14.20	 14.30	 14.40	 14.50	 15.00	 15.08	 15.18	 15.28	 15.38	 15.48	 15.58	 16.08	 16.18	 16.28	 16.38	 16.48	 16.58	 17.08	 17.18	 17.28	 17.38	 17.48	 17.58	 18.08	 18.18	 18.28	 18.38	 18.48	 18.58	 19.14	 19.29	 19.44	 19.59	 20.14	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36	 25.06
